altura,altura_predita
109.95,112.6
113.3,114.45
109.7,108.7
113.6,116.3
108.7,114.1
111.1,117.1
104.45,104.55
108.15,109.45
121.65,118.9
125.7,126.0
113.6,108.15
117.8,113.65
112.6,109.95
115.25,115.05
103.0,106.3
108.0,107.2
114.55,115.9
117.05,117.8
108.35,108.9
112.5,111.1
106.6,109.95
111.4,106.05
110.2,110.5
114.4,109.35
97.65,97.5
102.2,103.45
96.6,97.8
102.05,102.75
110.2,114.35
115.5,111.65
110.5,110.2
116.0,111.65
97.3,95.45
100.65,105.05
110.8,107.75
114.4,110.7
97.8,96.6
102.9,104.65
98.1,97.3
101.15,103.75
94.7,103.1
98.3,105.05
94.55,97.5
100.55,103.1
97.4,98.1
102.45,94.7
97.2,97.3
100.6,102.65
101.3,101.1
104.8,102.5
110.4,108.05
113.95,113.4
109.35,114.4
112.65,110.55
107.25,106.4
109.35,112.0
101.9,106.4
104.55,108.3
96.15,95.65
99.6,102.15
95.3,98.25
98.25,99.6
93.25,94.45
98.5,102.45
105.1,103.65
107.9,108.65
101.85,101.0
107.2,108.0
103.65,107.35
107.2,109.15
110.65,107.2
114.5,107.15
98.1,97.5
102.35,100.7
98.65,96.45
103.1,100.55
109.05,109.9
113.4,109.1
97.4,98.1
101.0,101.85
115.6,119.7
117.55,115.8
107.3,102.3
110.2,110.65
107.45,107.3
111.0,114.35
93.35,93.25
95.1,94.7
106.45,107.35
109.9,109.95
108.3,106.4
112.0,109.35
110.95,111.9
113.65,111.1
96.7,96.55
98.35,98.25
107.75,109.9
113.7,118.0
116.95,114.25
119.7,115.9
102.65,103.75
106.3,102.75
97.5,97.65
100.2,99.0
103.95,106.55
106.5,114.25
96.45,98.1
101.2,100.2
105.6,107.2
109.1,114.45
105.2,107.2
108.45,109.15
95.65,98.35
99.15,97.55
108.3,107.75
110.55,114.1
90.2,93.35
93.2,96.55
111.65,116.0
117.45,116.0
111.75,117.5
115.65,115.8
106.1,105.4
109.1,105.0
111.0,109.1
112.7,110.1
106.05,108.3
108.15,113.6
97.55,99.0
102.3,103.15
109.15,103.25
111.85,110.15
110.95,105.6
114.0,109.35
109.65,110.2
114.35,110.2
109.45,108.15
117.1,113.8
105.0,107.2
107.3,108.0
102.65,101.85
108.0,102.05
100.0,107.3
102.3,106.3
102.5,98.25
106.6,110.95
112.75,112.4
116.8,118.95
114.05,115.8
119.1,121.65
102.45,98.25
107.35,103.95
108.65,107.9
112.4,115.9
122.1,116.7
126.0,120.0
120.3,122.1
123.65,125.7
103.1,100.65
106.4,106.2
115.05,117.05
118.55,114.15
112.95,114.4
115.8,109.7
105.65,106.4
108.05,109.75
114.25,114.15
117.7,116.8
115.9,119.7
119.05,118.55
111.6,112.5
115.05,115.8
111.25,109.35
113.8,112.65
110.55,112.65
115.0,111.1
114.45,109.1
117.05,115.05
109.2,107.95
111.6,105.2
106.55,107.45
109.9,113.9
98.95,101.3
102.55,105.3
97.5,94.45
102.4,98.25
106.65,99.6
109.9,110.95
103.15,101.05
106.4,104.55
106.4,108.75
110.1,109.35
103.45,105.0
107.15,108.0
101.75,97.55
105.4,103.45
114.1,108.7
116.7,110.15
109.95,109.9
112.45,103.0
113.0,110.15
115.8,117.55
101.35,102.4
105.05,98.3
109.95,102.85
112.35,111.05
110.6,111.45
113.45,115.9
110.05,111.1
114.3,115.8
96.05,95.55
99.6,97.55
113.85,108.4
117.55,118.0
109.65,109.15
112.85,113.4
109.25,106.5
113.4,113.0
108.2,110.6
111.1,114.3
101.3,97.55
104.8,105.3
101.8,102.15
105.0,106.05
109.15,110.1
