altura,altura_predita
109.95,112.6
113.3,112.0
109.7,115.8
113.6,111.1
108.7,108.15
111.1,119.05
104.45,104.55
108.15,109.45
121.65,119.1
125.7,126.0
113.6,108.15
117.8,113.95
112.6,109.95
115.25,108.15
103.0,96.6
108.0,104.625
114.55,120.15
117.05,117.55
108.35,109.9
112.5,115.5
106.6,99.0
111.4,104.95
110.2,103.45
114.4,108.65
97.65,102.65
102.2,109.65
96.6,105.0
102.05,107.6
110.2,104.7
115.5,112.5
110.5,107.2
116.0,115.05
97.3,97.4
100.65,102.4
110.8,106.5
114.4,107.15
97.8,96.6
102.9,97.55
98.1,96.45
101.15,103.75
94.7,97.4
98.3,99.6
94.55,93.25
100.55,104.69999999999999
97.4,97.5
102.45,94.7
97.2,95.45
100.6,94.7
101.3,98.6
104.8,103.15
110.4,111.85
113.95,115.0
109.35,106.5
112.65,113.7
107.25,111.275
109.35,110.85
101.9,109.2
104.55,104.45
96.15,95.3
99.6,105.05
95.3,95.65
98.25,98.95
93.25,91.3
98.5,93.2
105.1,111.4
107.9,109.35
101.85,97.25
107.2,105.025
103.65,108.0
107.2,114.35
110.65,114.35
114.5,110.55
98.1,97.5
102.35,108.0
98.65,101.85
103.1,103.425
109.05,114.1
113.4,115.6
97.4,94.7
101.0,100.2
115.6,113.4
117.55,113.6
107.3,108.3
110.2,109.1
107.45,106.55
111.0,110.7
93.35,93.25
95.1,97.2
106.45,103.95
109.9,114.5
108.3,106.4
112.0,113.3
110.95,109.15
113.65,117.8
96.7,93.2
98.35,102.45
107.75,109.15
113.7,112.65
116.95,110.55
119.7,115.9
102.65,97.65
106.3,101.82499999999999
97.5,102.65
100.2,103.1
103.95,107.35
106.5,109.95
96.45,98.1
101.2,99.6
105.6,105.75
109.1,114.35
105.2,105.4
108.45,111.9
95.65,95.3
99.15,99.75
108.3,107.75
110.55,114.5
90.2,93.35
93.2,96.7
111.65,115.5
117.45,112.75
111.75,112.75
115.65,113.65
106.1,114.45
109.1,108.2
111.0,109.1
112.7,113.4
106.05,107.3
108.15,113.6
97.55,102.9
102.3,103.65
109.15,107.75
111.85,110.4
110.95,102.55
114.0,108.45
109.65,110.2
114.35,110.65
109.45,108.15
117.1,111.1
105.0,98.825
107.3,109.95
102.65,98.65
108.0,100.7
100.0,111.275
102.3,107.25
102.5,100.6
106.6,106.4
112.75,117.45
116.8,117.7
114.05,111.6
119.1,121.65
102.45,98.825
107.35,103.95
108.65,114.4
112.4,116.7
122.1,119.7
126.0,123.65
120.3,115.6
123.65,126.0
103.1,100.65
106.4,106.55
115.05,116.95
118.55,109.7
112.95,114.4
115.8,109.7
105.65,110.95
108.05,115.9
114.25,109.9
117.7,116.8
115.9,116.7
119.05,111.1
111.6,114.05
115.05,113.2
111.25,112.0
113.8,122.1
110.55,112.65
115.0,120.3
114.45,106.1
117.05,112.95
109.2,101.9
111.6,110.95
106.55,101.75
109.9,103.45
98.95,98.25
102.55,110.95
97.5,98.1
102.4,102.45
106.65,103.15
109.9,111.275
103.15,104.8
106.4,106.6
106.4,104.45
110.1,107.4
103.45,110.275
107.15,114.4
101.75,107.3
105.4,105.2
114.1,109.05
116.7,110.15
109.95,113.9
112.45,109.95
113.0,108.05
115.8,117.8
101.35,101.45
105.05,99.6
109.95,104.65
112.35,111.05
110.6,103.0
113.45,117.5
110.05,109.95
114.3,113.4
96.05,95.55
99.6,106.5
113.85,108.0
117.55,114.1
109.65,114.3
112.85,112.4
109.25,103.1
113.4,112.7
108.2,108.55
111.1,114.3
101.3,98.6
104.8,103.25
101.8,99.0
105.0,106.05
109.15,114.3
113.2,117.5
109.95,112.4
112.95,109.1
101.05,108.95
103.0,111.69999999999999
113.95,115.9
117.95,116.55
108.4,112.5
112.4,112.85
113.9,109.95
118.0,114.55
106.3,100.0
110.8,109.2
110.1,109.85
113.35,118.95
109.15,106.8
112.0,111.9
104.6,102.15
107.95,109.9
109.1,115.3
111.9,109.1
110.85,109.35
112.4,109.95
102.85,105.5
105.6,114.0
104.3,108.75
107.4,110.85
122.1,123.15
125.3,127.45
116.3,117.1
119.55,121.8
104.7,100.6
108.6,104.8
102.15,104.6
105.3,101.9
114.3,111.1
117.5,111.75
97.2,100.2
101.0,100.2
100.75,102.4
104.65,104.8
107.45,103.2
111.05,112.35
103.75,100.2
106.2,104.75
108.75,104.3
111.2,111.9
110.7,107.75
114.15,109.05
104.6,102.05
107.75,114.35
105.2,104.95
109.2,110.8
