altura,altura_predita
109.95,111.155
113.3,115.41000000000001
109.7,112.63999999999999
113.6,116.08999999999999
108.7,111.98999999999998
111.1,114.875
104.45,105.94000000000001
108.15,110.43000000000002
121.65,119.965
125.7,119.7
113.6,108.7
117.8,113.275
112.6,110.13
115.25,116.77000000000001
103.0,102.31499999999998
108.0,105.43499999999999
114.55,113.13500000000002
117.05,113.505
108.35,104.71000000000001
112.5,114.13999999999999
106.6,103.215
111.4,107.7
110.2,107.44500000000001
114.4,112.83999999999999
97.65,99.44000000000001
102.2,102.83500000000001
96.6,100.675
102.05,102.325
110.2,108.16000000000001
115.5,113.625
110.5,108.60499999999999
116.0,116.26500000000001
97.3,98.21000000000001
100.65,100.42500000000001
110.8,105.755
114.4,113.915
97.8,100.8
102.9,101.38
98.1,97.795
101.15,100.505
94.7,99.625
98.3,101.755
94.55,97.395
100.55,100.535
97.4,98.2
102.45,98.26
97.2,97.91
100.6,98.385
101.3,97.62500000000001
104.8,103.095
110.4,110.56999999999998
113.95,112.72999999999999
109.35,110.45
112.65,114.0
107.25,108.075
109.35,110.175
101.9,107.18999999999998
104.55,107.375
96.15,96.345
99.6,100.915
95.3,97.97999999999999
98.25,99.33500000000001
93.25,94.885
98.5,95.905
105.1,106.88
107.9,110.38000000000002
101.85,100.81
107.2,106.27000000000001
103.65,104.405
107.2,108.70000000000002
110.65,106.60499999999999
114.5,109.26500000000001
98.1,98.24999999999999
102.35,102.915
98.65,97.785
103.1,100.295
109.05,109.36500000000001
113.4,112.375
97.4,98.83500000000001
101.0,98.945
115.6,116.86500000000001
117.55,116.08500000000001
107.3,105.03
110.2,109.61500000000001
107.45,109.17999999999999
111.0,111.87
93.35,96.10000000000001
95.1,97.99
106.45,103.34
109.9,110.005
108.3,107.10499999999999
112.0,109.8
110.95,111.05500000000002
113.65,114.42999999999999
96.7,95.42499999999998
98.35,99.4
107.75,112.0
113.7,120.33500000000001
116.95,115.085
119.7,116.28
102.65,100.16999999999999
106.3,101.965
97.5,99.525
100.2,100.115
103.95,109.32000000000001
106.5,112.93500000000002
96.45,97.175
101.2,98.77000000000001
105.6,109.67
109.1,110.85499999999999
105.2,107.89000000000001
108.45,111.675
95.65,97.27000000000001
99.15,99.53999999999999
108.3,107.845
110.55,113.21499999999999
90.2,95.53
93.2,97.025
111.65,114.28
117.45,118.83
111.75,115.59
115.65,116.49499999999998
106.1,106.165
109.1,108.08500000000001
111.0,108.64499999999998
112.7,112.595
106.05,106.63999999999999
108.15,109.78
97.55,100.045
102.3,103.155
109.15,109.715
111.85,111.11000000000001
110.95,104.955
114.0,110.075
109.65,107.64000000000001
114.35,108.29
109.45,110.325
117.1,113.41499999999999
105.0,104.955
107.3,104.55499999999999
102.65,101.50999999999999
108.0,105.375
100.0,105.28
102.3,106.83999999999999
102.5,100.60499999999999
106.6,106.025
112.75,115.27000000000001
116.8,117.12500000000003
114.05,115.13999999999999
119.1,116.71
102.45,99.80000000000001
107.35,102.55999999999999
108.65,109.53
112.4,113.35
122.1,119.325
126.0,119.835
120.3,119.505
123.65,120.07000000000001
103.1,100.31500000000001
106.4,105.995
115.05,115.75500000000002
118.55,116.41999999999999
112.95,112.625
115.8,114.18999999999998
105.65,105.32000000000001
108.05,111.15
114.25,112.56000000000002
117.7,118.22500000000002
115.9,117.005
119.05,116.35
111.6,112.875
115.05,115.16000000000001
111.25,110.53
113.8,113.93499999999999
110.55,113.835
115.0,115.12
114.45,112.475
117.05,117.28
109.2,105.535
111.6,107.405
106.55,107.75999999999999
109.9,111.59499999999998
98.95,98.915
102.55,105.47
97.5,96.995
102.4,100.11999999999999
106.65,106.55499999999999
109.9,108.92999999999999
103.15,100.39999999999999
106.4,106.295
106.4,108.65
110.1,111.11500000000001
103.45,106.665
107.15,110.53
101.75,101.325
105.4,104.85
114.1,113.075
116.7,116.345
109.95,106.36499999999998
112.45,109.12
113.0,115.31999999999998
115.8,118.10999999999999
101.35,98.39000000000001
105.05,102.275
109.95,103.26499999999999
112.35,109.56500000000001
110.6,109.465
113.45,113.94500000000001
110.05,111.54
114.3,114.80499999999999
96.05,97.67
99.6,98.61999999999998
113.85,113.94500000000001
117.55,117.61999999999998
109.65,110.76999999999998
112.85,114.30499999999999
109.25,110.63499999999999
113.4,114.96999999999998
108.2,105.845
111.1,111.63499999999999
101.3,100.09
104.8,103.51999999999998
101.8,103.5
105.0,106.43499999999999
109.15,110.72999999999999
113.2,115.125
109.95,110.55499999999999
112.95,111.125
101.05,105.375
103.0,108.91
113.95,114.63
117.95,120.05499999999998
108.4,111.3
112.4,113.60499999999999
113.9,113.255
118.0,115.02000000000001
106.3,104.17
110.8,109.245
110.1,109.60999999999999
113.35,113.58
109.15,109.36000000000001
112.0,110.93500000000002
104.6,103.61500000000001
107.95,105.4
109.1,111.545
111.9,111.11000000000001
110.85,110.575
112.4,110.85
102.85,104.26500000000001
105.6,108.67999999999999
104.3,110.02000000000001
107.4,113.465
122.1,120.095
125.3,120.3
116.3,117.93999999999998
119.55,118.43499999999999
104.7,101.505
108.6,104.93499999999999
102.15,102.67
105.3,104.47999999999999
114.3,112.035
117.5,113.60499999999999
97.2,98.77
101.0,101.51
100.75,104.4
104.65,105.57000000000001
107.45,105.95500000000001
111.05,111.38499999999999
103.75,101.95
106.2,103.92999999999999
108.75,105.92999999999999
111.2,110.18499999999999
110.7,110.47999999999999
114.15,112.98499999999999
104.6,102.51499999999999
107.75,108.45
105.2,105.205
109.2,109.625
102.05,104.41000000000001
106.2,110.175
100.7,103.86500000000001
103.8,105.3
107.65,109.825
109.95,113.41499999999999
113.65,113.98499999999999
118.9,114.86499999999998
109.95,110.72999999999999
113.4,114.425
96.8,98.00500000000001
101.45,100.995
109.05,113.495
110.15,115.29
104.9,105.40500000000002
110.1,109.285
99.6,102.475
101.9,105.255
105.6,104.19500000000001
110.7,108.405
104.8,107.92
107.4,110.88000000000002
99.4,98.465
103.25,106.10499999999999
99.75,100.49
103.25,104.2
109.75,108.80500000000002
113.05,111.9
110.1,111.545
112.75,115.66000000000001
104.65,103.03
108.9,107.585
110.15,111.6
114.1,114.51500000000001
109.85,113.71999999999998
113.8,117.42
95.7,99.475
99.0,102.69500000000001
95.55,97.28999999999999
98.25,99.91
112.85,114.65
116.4,115.11499999999998
102.75,104.18499999999999
108.4,110.58
108.0,108.48499999999999
111.4,109.925
113.0,113.96499999999999
115.6,117.95500000000001
97.55,99.39999999999999
101.05,103.56000000000002
118.95,117.93999999999998
121.8,119.16999999999999
95.45,98.16
99.7,100.73
110.6,106.05
113.6,109.38500000000002
103.45,104.41
108.35,109.045
115.55,112.25999999999999
118.85,118.82000000000001
106.8,108.2
109.6,112.6
94.45,98.12499999999999
98.2,99.03
96.55,97.18
101.1,98.60499999999999
91.3,97.855
95.0,97.595
114.55,114.65500000000002
117.95,117.30999999999997
99.0,101.76
102.4,104.71000000000001
108.95,108.6
114.35,111.095
98.25,98.58000000000001
102.35,103.96499999999999
117.1,118.69500000000001
121.35,120.44500000000001
105.5,104.01000000000002
109.75,112.0
103.5,101.71000000000001
107.1,105.88000000000002
99.4,99.955
103.1,106.25
115.8,113.425
