altura,altura_predita
109.95,105.65
113.3,110.2
109.7,108.15
113.6,113.8
108.7,110.55
111.1,109.95
104.45,109.35
108.15,115.6
121.65,116.7
125.7,123.65
113.6,107.25
117.8,113.95
112.6,107.3
115.25,114.55
103.0,96.45
108.0,106.3
114.55,108.15
117.05,115.0
108.35,109.95
112.5,112.85
106.6,101.0
111.4,109.9
110.2,103.8
114.4,114.15
97.65,101.85
102.2,101.0
96.6,102.65
102.05,109.65
110.2,105.6
115.5,108.3
110.5,112.0
116.0,118.9
97.3,97.5
100.65,99.7
110.8,102.3
114.4,113.95
97.8,102.65
102.9,102.05
98.1,93.25
101.15,100.6
94.7,102.4
98.3,103.65
94.55,97.4
100.55,97.8
97.4,93.25
102.45,98.35
97.2,94.45
100.6,101.15
101.3,98.95
104.8,110.7
110.4,108.05
113.95,117.8
109.35,107.3
112.65,111.6
107.25,113.6
109.35,109.7
101.9,102.55
104.55,109.15
96.15,93.2
99.6,101.3
95.3,98.5
98.25,98.95
93.25,97.4
98.5,93.35
105.1,105.6
107.9,108.55
101.85,97.65
107.2,111.0
103.65,98.3
107.2,107.75
110.65,103.25
114.5,109.05
98.1,93.35
102.35,100.65
98.65,103.0
103.1,100.7
109.05,113.85
113.4,112.4
97.4,98.2
101.0,105.05
115.6,108.15
117.55,120.3
107.3,100.75
110.2,111.9
107.45,104.8
111.0,106.1
93.35,98.1
95.1,98.65
106.45,108.9
109.9,107.65
108.3,104.55
112.0,113.6
110.95,109.35
113.65,117.05
96.7,96.55
98.35,95.1
107.75,113.9
113.7,113.4
116.95,115.05
119.7,115.65
102.65,96.6
106.3,108.0
97.5,97.4
100.2,100.55
103.95,101.75
106.5,109.9
96.45,102.4
101.2,103.15
105.6,101.05
109.1,114.35
105.2,110.95
108.45,115.05
95.65,98.35
99.15,102.55
108.3,115.5
110.55,117.5
90.2,97.4
93.2,96.15
111.65,110.5
117.45,109.95
111.75,114.4
115.65,119.7
106.1,109.65
109.1,110.1
111.0,107.3
112.7,113.4
106.05,108.75
108.15,114.55
97.55,101.15
102.3,110.6
109.15,105.6
111.85,119.05
110.95,105.2
114.0,111.0
109.65,106.1
114.35,109.1
109.45,109.05
117.1,111.9
105.0,106.3
107.3,109.35
102.65,98.65
108.0,100.65
100.0,106.8
102.3,104.65
102.5,107.3
106.6,106.3
112.75,117.5
116.8,115.65
114.05,110.1
119.1,126.0
102.45,97.65
107.35,102.9
108.65,109.2
112.4,113.4
122.1,117.05
126.0,119.55
120.3,115.05
123.65,125.7
103.1,102.05
106.4,109.15
115.05,108.45
118.55,113.95
112.95,107.9
115.8,113.65
105.65,104.45
108.05,110.4
114.25,114.15
117.7,112.75
115.9,113.4
119.05,117.05
111.6,105.4
115.05,119.7
111.25,104.8
113.8,113.6
110.55,108.7
115.0,122.1
114.45,108.55
117.05,113.65
109.2,108.65
111.6,112.65
106.55,99.15
109.9,110.1
