altura,altura_predita
109.95,110.12
113.3,116.61999999999998
109.7,112.74000000000001
113.6,115.35999999999999
108.7,110.03
111.1,114.0
104.45,107.54
108.15,110.63999999999999
121.65,121.55999999999999
125.7,122.74000000000001
113.6,109.67
117.8,113.92999999999999
112.6,108.25
115.25,112.6
103.0,101.17
108.0,107.42999999999999
114.55,110.30999999999999
117.05,114.14000000000001
108.35,102.75999999999999
112.5,112.67
106.6,101.80999999999999
111.4,108.96
110.2,107.91999999999999
114.4,113.74000000000001
97.65,99.41
102.2,102.46000000000001
96.6,100.17999999999999
102.05,103.64000000000001
110.2,109.3
115.5,112.63
110.5,109.94000000000001
116.0,115.62
97.3,97.21000000000001
100.65,101.25
110.8,104.39000000000001
114.4,115.44000000000001
97.8,100.83
102.9,102.64000000000001
98.1,98.07
101.15,99.38
94.7,99.69000000000001
98.3,100.61999999999998
94.55,93.85
100.55,100.03
97.4,97.20000000000002
102.45,95.94
97.2,96.1
100.6,98.34
101.3,96.46000000000001
104.8,103.31000000000002
110.4,109.58
113.95,110.28999999999999
109.35,108.55
112.65,110.25999999999999
107.25,112.03
109.35,110.05999999999999
101.9,106.49000000000001
104.55,106.41000000000001
96.15,98.75999999999999
99.6,100.85
95.3,98.91
98.25,100.24000000000001
93.25,93.84
98.5,96.94000000000001
105.1,104.7
107.9,110.72
101.85,100.47999999999999
107.2,108.03
103.65,100.75999999999999
107.2,109.47
110.65,106.68999999999998
114.5,108.58
98.1,98.46
102.35,104.33999999999999
98.65,96.44000000000001
103.1,100.88
109.05,109.31000000000002
113.4,110.67999999999999
97.4,98.13000000000001
101.0,104.77000000000001
115.6,115.78
117.55,117.17999999999999
107.3,104.13
110.2,108.96
107.45,104.71000000000001
111.0,111.73999999999998
93.35,95.58
95.1,98.51
106.45,104.07000000000001
109.9,110.55
108.3,105.85
112.0,111.53
110.95,110.27000000000001
113.65,113.63999999999999
96.7,95.84
98.35,98.81
107.75,112.41
113.7,121.42
116.95,115.23999999999998
119.7,116.16000000000001
102.65,99.84
106.3,101.78999999999999
97.5,97.92
100.2,99.93999999999998
103.95,107.78
106.5,110.22
96.45,96.94
101.2,99.42
105.6,108.31000000000002
109.1,111.99000000000001
105.2,108.83999999999999
108.45,113.22999999999999
95.65,97.82999999999998
99.15,103.21
108.3,109.5
110.55,113.84
90.2,94.75
93.2,96.16
111.65,111.3
117.45,115.42999999999999
111.75,114.04
115.65,116.97
106.1,106.12
109.1,108.91000000000001
111.0,108.30999999999999
112.7,112.22999999999999
106.05,108.49000000000001
108.15,112.66999999999999
97.55,99.72
102.3,105.88000000000002
109.15,109.41
111.85,114.24000000000001
110.95,107.41
114.0,110.64000000000001
109.65,107.54
114.35,111.22999999999999
109.45,111.46000000000001
117.1,113.98999999999998
105.0,107.03999999999999
107.3,108.76999999999998
102.65,101.59
108.0,104.7
100.0,105.7
102.3,104.58999999999999
102.5,102.09
106.6,105.8
112.75,115.78
116.8,116.04
114.05,112.4
119.1,115.0
102.45,99.83
107.35,104.16
108.65,107.17999999999999
112.4,114.81000000000002
122.1,121.05999999999999
126.0,122.67999999999999
120.3,123.82000000000001
123.65,123.15
103.1,101.21000000000001
106.4,109.78
115.05,113.62
118.55,116.34
112.95,111.95
115.8,112.37
105.65,105.13
108.05,111.03000000000002
114.25,112.35999999999999
117.7,115.47
115.9,117.11000000000001
119.05,116.24000000000001
111.6,112.85
115.05,116.68000000000002
111.25,110.51000000000002
113.8,114.24999999999997
110.55,111.97999999999999
115.0,117.08
114.45,110.92
117.05,120.75
109.2,108.0
111.6,108.87
106.55,104.38
109.9,109.54
98.95,99.22
102.55,103.71999999999998
97.5,94.85
102.4,97.05
106.65,106.75
109.9,109.53999999999999
103.15,100.52
106.4,105.83999999999999
106.4,110.17999999999999
110.1,109.88999999999999
103.45,106.03
107.15,111.95
101.75,105.42
105.4,109.78999999999999
114.1,113.21000000000001
116.7,116.47
109.95,108.02000000000001
112.45,109.94000000000001
113.0,117.81000000000002
115.8,117.13
101.35,98.8
105.05,103.75
109.95,104.58999999999999
112.35,107.25
110.6,108.32000000000001
113.45,113.22
110.05,112.32000000000001
114.3,114.30999999999999
96.05,96.6
99.6,102.15
113.85,115.51000000000002
117.55,115.14000000000001
109.65,110.1
112.85,112.58
109.25,110.23999999999998
113.4,115.00999999999999
108.2,106.97
111.1,110.9
101.3,100.83
104.8,103.65
101.8,103.36999999999998
105.0,106.17
109.15,111.35999999999999
113.2,115.27000000000001
109.95,111.55
112.95,111.34
101.05,104.88999999999999
103.0,109.84
113.95,115.49000000000001
117.95,121.42
108.4,112.22999999999999
112.4,115.03
113.9,112.78
118.0,117.59
106.3,103.74000000000001
110.8,109.04
110.1,110.73999999999998
113.35,113.66000000000001
109.15,110.30999999999999
112.0,110.8
104.6,102.3
107.95,106.75999999999999
109.1,111.16000000000001
111.9,111.55
110.85,110.13
112.4,110.35999999999999
102.85,103.98000000000002
105.6,108.49000000000001
104.3,110.63
107.4,115.35
122.1,121.94000000000001
125.3,121.77000000000001
116.3,116.00999999999999
119.55,117.58000000000001
104.7,101.22
108.6,106.63
102.15,100.1
105.3,104.41
114.3,110.43999999999998
117.5,114.03
97.2,100.70000000000002
101.0,103.02000000000001
100.75,104.85
104.65,104.21000000000001
107.45,106.25
111.05,111.34
103.75,101.46
106.2,105.97999999999999
108.75,107.55999999999999
111.2,111.45
110.7,110.55
114.15,115.18000000000002
104.6,104.95
107.75,108.46
105.2,108.12
109.2,111.29
102.05,105.50999999999999
106.2,110.69000000000001
100.7,104.07000000000001
103.8,108.82000000000001
107.65,112.85999999999999
109.95,113.5
113.65,114.55999999999999
118.9,114.93999999999998
109.95,110.21000000000001
113.4,113.1
96.8,100.45
101.45,101.87
109.05,110.25000000000003
110.15,114.60999999999999
104.9,106.72999999999999
110.1,110.88
99.6,101.78999999999999
101.9,105.05
105.6,103.9
110.7,107.8
104.8,108.83
107.4,110.38
99.4,98.52
103.25,106.75
99.75,100.24
103.25,104.14000000000001
109.75,107.65
113.05,110.75999999999999
110.1,111.17
112.75,113.43999999999998
104.65,102.85
108.9,107.05
110.15,112.06000000000002
114.1,114.19000000000001
109.85,114.46
113.8,118.42
95.7,98.11
99.0,102.38
95.55,97.3
98.25,100.71
112.85,115.25
116.4,115.38999999999999
102.75,104.72
108.4,110.79
108.0,106.6
111.4,110.67999999999999
113.0,114.05
115.6,116.25999999999999
97.55,100.61999999999999
101.05,103.95
118.95,116.58
121.8,119.38999999999999
95.45,97.17
99.7,101.53
110.6,107.23999999999998
113.6,108.99000000000001
103.45,104.33
108.35,109.55999999999999
115.55,110.53
118.85,115.5
106.8,103.80999999999999
109.6,111.28
94.45,97.72
98.2,97.44
96.55,96.31
101.1,99.19000000000001
91.3,95.52000000000001
95.0,96.44000000000001
114.55,109.39000000000001
117.95,117.66
99.0,102.99000000000001
102.4,103.56000000000002
108.95,106.78
114.35,110.78
98.25,98.91999999999999
102.35,106.08
117.1,118.24000000000001
121.35,119.39000000000001
105.5,104.22999999999999
109.75,110.82000000000001
103.5,100.04
107.1,107.48999999999998
99.4,100.04
103.1,103.14000000000001
115.8,114.37
120.15,117.05
100.2,102.14000000000001
103.5,106.6
103.2,101.39
107.3,109.41000000000001
106.05,105.96
109.85,108.44000000000001
100.2,96.72999999999999
104.8,101.07000000000001
111.9,111.82000000000001
115.3,116.21
108.55,102.97
112.5,110.42999999999999
116.15,113.0
119.8,118.52000000000001
111.45,107.35999999999999
115.9,112.72999999999999
104.7,102.55
108.75,110.67
104.95,105.75
108.2,111.8
112.0,110.03
114.8,113.51000000000002
116.55,119.17
120.0,120.18999999999998
97.25,99.28
102.05,102.97
104.75,106.03
108.55,110.6
123.15,120.76999999999998
127.45,121.66
107.7,106.17
112.1,110.71
103.95,101.43
108.0,105.63
106.5,103.42999999999999
109.35,109.17
100.8,101.46000000000001
104.4,103.93999999999998
