altura,altura_predita
114.9,114.50499999999997
115.4,117.92
113.9,117.24499999999998
109.5,112.328
128.05,122.11500000000001
119.8,114.28900000000002
117.3,114.725
109.4,107.951
118.9,116.51700000000001
113.65,114.63700000000001
112.9,111.08599999999998
116.0,112.33
102.7,104.11500000000001
103.75,106.07099999999998
117.25,115.96499999999999
117.4,116.66
102.6,103.71
117.05,112.55700000000002
103.45,105.96
104.35,104.55499999999999
99.8,104.5
101.15,102.85999999999999
102.75,102.58999999999999
102.8,103.23000000000002
107.65,104.01500000000001
115.3,114.684
114.35,114.20899999999999
111.15,113.06000000000002
106.05,111.811
100.95,102.875
100.69,103.92
100.1,101.08700000000002
109.95,112.62100000000001
109.11,107.125
109.4,112.77000000000001
115.9,112.37899999999999
105.8,105.61599999999999
104.9,102.35
114.7,112.604
102.85,104.245
119.9,118.52000000000001
112.9,110.782
113.35,113.545
98.32,101.655
110.85,112.48000000000002
114.1,111.49600000000001
115.1,115.09200000000001
101.4,101.962
114.45,118.64000000000001
121.65,117.625
109.6,105.48599999999999
101.2,103.425
108.1,115.03999999999999
114.0,114.45
109.8,113.16199999999999
101.0,102.76400000000001
113.15,113.38400000000001
94.85,101.012
119.55,120.375
117.5,119.18000000000002
110.7,111.43200000000002
114.3,114.269
111.55,111.796
102.5,104.16599999999998
113.72,112.33699999999999
116.75,111.45599999999999
115.4,112.73999999999998
117.8,115.819
109.05,108.99100000000001
109.5,106.56099999999999
103.76,109.87100000000001
108.25,106.761
119.45,119.17625000000001
108.25,103.83
113.37,113.26699999999998
128.35,120.715
126.05,121.44500000000001
108.1,106.44000000000001
120.5,117.69000000000001
116.75,116.08200000000002
109.5,111.8
120.0,118.925
121.1,117.95500000000001
117.8,117.0
114.9,116.96
116.8,117.7
121.35,116.025
113.66,111.3
110.95,114.22
104.0,103.89000000000001
105.05,102.042
111.45,112.63499999999999
108.25,107.151
110.7,113.83000000000001
108.35,112.84200000000001
108.25,107.78099999999999
119.2,116.424
114.25,111.45500000000001
118.1,119.09625000000001
106.25,104.44499999999998
115.8,110.78
115.9,114.30999999999999
115.7,117.02124999999998
101.6,103.3
119.5,118.10125000000001
114.5,116.6
115.5,116.72999999999999
113.3,113.70374999999999
106.5,105.22999999999999
107.2,109.16499999999999
115.25,116.27875000000002
114.6,114.675
104.0,112.21999999999998
118.65,118.98125
114.1,116.84124999999999
119.9,115.74499999999998
112.2,110.30999999999999
114.4,115.66
114.3,112.08875
110.0,108.00999999999999
113.85,114.49499999999998
115.15,113.125
108.55,110.85499999999999
110.1,113.37375
127.0,122.14499999999998
121.8,120.54625000000001
110.35,105.3
105.7,106.995
119.75,116.38624999999999
102.4,104.19000000000001
105.5,106.01500000000001
112.55,112.98500000000001
108.0,107.25
112.5,111.31375
117.05,114.81875
109.3,109.59
110.55,112.075
107.9,111.60499999999999
106.65,109.35499999999999
111.6375,113.82000000000001
121.5,119.63125
115.55,116.96624999999999
103.25,104.05999999999999
113.1,117.62625
110.9,111.76499999999999
105.05,109.35
112.0,109.7
109.5,111.64000000000001
107.5,105.85000000000002
104.35,106.02000000000001
115.55,114.16
114.9,117.44125000000001
110.4,111.26500000000001
116.35,116.19000000000001
115.6,120.56625000000001
101.25,105.05000000000003
99.75,103.48499999999999
119.2,122.83999999999999
110.15,111.75999999999999
113.35,112.72999999999999
118.3,118.60499999999999
102.1,105.44500000000001
124.3,119.88125
102.65,103.12950000000001
115.4,112.88499999999999
109.8,110.995
121.2,117.275
111.95,113.705
98.995,102.94500000000001
102.05,101.6445
96.6,100.6365
120.0,117.36125000000001
103.15,104.125
115.15,112.62875
105.8,105.64500000000001
123.0,119.98500000000001
112.2,111.23499999999999
109.8,107.35
104.9,106.13499999999999
121.4625,117.08
105.45,106.49499999999998
109.45,111.9
112.05,110.505
106.65,103.335
116.85,115.09875000000002
115.2,112.87375
121.4,120.17624999999998
118.5,114.05
110.35,112.58375000000001
109.75,111.16875
117.65,116.98125
121.0,120.93499999999999
104.5,104.375
110.65,111.91
128.7,121.255
114.0,112.155
108.85,110.1
111.05,110.65
105.9,106.155
