altura,altura_predita
114.9,114.1
115.4,113.9
113.9,115.4
109.5,117.3
128.05,118.90000000000002
119.8,115.1
117.3,109.5
109.4,103.75
118.9,119.90000000000002
113.65,117.25
112.9,108.25000000000001
116.0,109.95
102.7,108.25
103.75,109.39999999999999
117.25,113.65
117.4,120.0
102.6,105.05
117.05,113.14999999999999
103.45,103.75
104.35,101.15
99.8,101.2
101.15,102.6
102.75,102.8
102.8,102.75
107.65,104.0
115.3,116.79999999999998
114.35,114.45
111.15,110.7
106.05,113.66
100.95,107.65000000000002
100.69,101.0
100.1,94.85000000000001
109.95,116.0
109.11,109.5
109.4,108.1
115.9,113.15
105.8,101.15
104.9,102.59999999999998
114.7,119.20000000000002
102.85,99.8
119.9,126.05000000000001
112.9,114.1
113.35,116.75
98.32,102.75
110.85,108.1
114.1,114.9
115.1,119.8
101.4,98.32
114.45,114.35
121.65,120.5
109.6,103.45
101.2,99.8
108.1,110.85
114.0,109.4
109.8,110.7
101.0,100.69
113.15,115.9
94.85,100.1
119.55,117.8
117.5,118.90000000000002
110.7,109.8
114.3,115.9
111.55,114.1
102.5,109.05
113.72,114.45
116.75,113.35
115.4,114.0
117.8,115.4
109.05,108.25
109.5,109.11
103.76,106.04999999999998
108.25,108.25
119.45,117.8
108.25,109.05
113.37,114.45
128.35,126.05
126.05,119.9
108.1,102.50000000000001
120.5,121.65
116.75,120.5
109.5,109.5
120.0,117.8
121.1,115.3
117.8,120.0
114.9,117.8
116.8,115.3
121.35,110.7
113.66,106.05
110.95,108.25
104.0,107.65
105.05,102.6
111.45,108.09999999999998
108.25,108.25
110.7,111.15
108.35,121.35
108.25,112.90000000000002
119.2,114.7
114.25,111.6375
118.1,114.4
106.25,104.49999999999999
115.8,112.55
115.9,118.5
115.7,115.54999999999998
101.6,99.75
119.5,116.35
114.5,114.1
115.5,117.05
113.3,114.00000000000001
106.5,104.35
107.2,109.79999999999998
115.25,119.75000000000001
114.6,115.15
104.0,115.15
118.65,121.20000000000002
114.1,114.5
119.9,115.9
112.2,110.1
114.4,116.35
114.3,113.35
110.0,105.7
113.85,114.6
115.15,114.6
108.55,109.8
110.1,112.2
127.0,128.7
121.8,124.3
110.35,106.5
105.7,110.0
119.75,115.25
102.4,106.65
105.5,110.35
112.55,115.8
108.0,105.05
112.5,110.10000000000001
117.05,115.49999999999999
109.3,115.8
110.55,109.75
107.9,110.9
106.65,110.90000000000002
111.6375,110.55
121.5,114.9
115.55,115.7
103.25,106.65000000000002
113.1,118.5
110.9,109.8
105.05,107.99999999999999
112.0,109.79999999999998
109.5,110.10000000000001
107.5,105.8
104.35,106.5
115.55,113.3
114.9,115.59999999999998
110.4,110.15
116.35,119.5
115.6,114.89999999999999
101.25,105.9
99.75,101.6
119.2,121.49999999999999
110.15,107.9
113.35,112.05
118.3,120.00000000000001
102.1,104.35
124.3,121.80000000000001
102.65,98.995
115.4,114.0
109.8,108.55
121.2,118.65
111.95,112.05
98.995,102.65
102.05,101.6
96.6,102.05
120.0,118.3
103.15,106.5
115.15,115.2
105.8,107.5
123.0,124.3
112.2,108.85
109.8,110.9
104.9,109.3
121.4625,114.9
105.45,108.0
109.45,113.29999999999998
112.05,109.75
106.65,103.25
116.85,111.95
115.2,113.3
121.4,118.65
118.5,115.9
110.35,115.19999999999999
109.75,110.55
117.65,115.55
121.0,123.0
104.5,106.25
110.65,110.55
128.7,127.0
114.0,113.3
108.85,112.20000000000002
111.05,105.45
105.9,105.05
