altura,altura_predita
114.9,114.42999999999999
115.4,117.57000000000001
113.9,116.33
109.5,111.67
128.05,122.63
119.8,115.01400000000001
117.3,116.91000000000001
109.4,107.08200000000002
118.9,115.434
113.65,113.83000000000001
112.9,108.97
116.0,112.99000000000001
102.7,104.38
103.75,105.8
117.25,116.50000000000003
117.4,118.74000000000001
102.6,102.95
117.05,112.10999999999999
103.45,105.85999999999999
104.35,102.16
99.8,104.16
101.15,102.364
102.75,102.47999999999999
102.8,103.51999999999998
107.65,101.49000000000001
115.3,115.69799999999998
114.35,115.628
111.15,111.13
106.05,112.862
100.95,103.28399999999999
100.69,100.97999999999999
100.1,99.684
109.95,112.92
109.11,107.55
109.4,110.42
115.9,110.34
105.8,107.032
104.9,103.07399999999998
114.7,112.77799999999999
102.85,102.46
119.9,119.22999999999999
112.9,109.51399999999998
113.35,114.12
98.32,102.69000000000001
110.85,110.13000000000002
114.1,110.54
115.1,115.66999999999999
101.4,100.374
114.45,124.4
121.65,119.49999999999997
109.6,103.09
101.2,103.26399999999998
108.1,114.53
114.0,114.28
109.8,112.7
101.0,101.6
113.15,113.394
94.85,100.714
119.55,123.38000000000002
117.5,120.42
110.7,108.64200000000001
114.3,115.43999999999998
111.55,111.56999999999998
102.5,105.05999999999999
113.72,114.174
116.75,111.06199999999998
115.4,111.87
117.8,115.55
109.05,108.68199999999999
109.5,108.59199999999998
103.76,111.09200000000001
108.25,106.75999999999999
119.45,120.65
108.25,104.08999999999999
113.37,115.394
128.35,121.88999999999999
126.05,122.35
108.1,103.02000000000001
120.5,119.45
116.75,117.16
109.5,111.59400000000001
120.0,121.55999999999999
121.1,119.91
117.8,118.37
114.9,116.87
116.8,117.80999999999999
121.35,118.37
113.66,110.71200000000002
110.95,113.96000000000001
104.0,103.85
105.05,101.95400000000001
111.45,112.25999999999999
108.25,106.75999999999999
110.7,112.24000000000001
108.35,112.88
108.25,107.38
119.2,118.22
114.25,111.69000000000001
118.1,122.1
106.25,104.369
115.8,110.37
115.9,115.9
115.7,115.33999999999999
101.6,101.49000000000001
119.5,118.23999999999998
114.5,115.46
115.5,119.68000000000002
113.3,113.76000000000002
106.5,104.46999999999998
107.2,108.15
115.25,115.87
114.6,113.73999999999998
104.0,112.14000000000001
118.65,123.67999999999999
114.1,117.15
119.9,117.12
112.2,109.43999999999998
114.4,114.53
114.3,112.16749999999999
110.0,106.23000000000002
113.85,114.49000000000001
115.15,112.65
108.55,110.03999999999999
110.1,115.6875
127.0,123.67999999999999
121.8,121.35999999999999
110.35,103.7
105.7,106.28
119.75,116.67249999999999
102.4,103.35
105.5,107.09
112.55,113.69000000000001
108.0,105.85999999999999
112.5,111.3
117.05,116.03
109.3,109.68000000000002
110.55,111.54
107.9,110.12
106.65,107.3
111.6375,114.21
121.5,118.05
115.55,114.89000000000001
103.25,102.48999999999998
113.1,120.35
110.9,111.88
105.05,107.72
112.0,109.17999999999999
109.5,113.42
107.5,104.8
104.35,104.67999999999999
115.55,115.45
114.9,115.9
110.4,111.05999999999999
116.35,117.35
115.6,120.73000000000002
101.25,104.28900000000002
99.75,103.19000000000001
119.2,120.66999999999999
110.15,112.12
113.35,112.6
118.3,117.92
102.1,104.39000000000001
124.3,122.84
102.65,104.59
115.4,112.37
109.8,110.74000000000001
121.2,119.88
111.95,113.65
98.995,104.09
102.05,101.4
96.6,102.48999999999998
120.0,119.25999999999999
103.15,105.75999999999999
115.15,113.39000000000001
105.8,105.40900000000002
123.0,121.42999999999999
112.2,111.61000000000001
109.8,106.41
104.9,106.66
121.4625,121.9
105.45,104.09
109.45,111.06000000000002
112.05,112.46000000000001
106.65,102.06
116.85,117.57750000000001
115.2,113.07000000000001
121.4,122.26999999999998
118.5,115.38
110.35,113.87
109.75,111.79999999999998
117.65,117.33
121.0,123.75
104.5,104.069
110.65,110.17
128.7,122.21
114.0,111.4
108.85,109.12
111.05,108.15
105.9,104.65
