altura,altura_predita
114.9,116.75
115.4,120.5
113.9,113.1
109.5,115.9
128.05,121.1
119.8,113.37
117.3,109.75
109.4,109.11
118.9,119.8
113.65,117.05
112.9,109.95
116.0,113.15
102.7,104.9
103.75,108.25
117.25,113.3
117.4,128.35
102.6,104.9
117.05,104.0
103.45,109.4
104.35,104.35
99.8,102.1
101.15,102.75
102.75,100.95
102.8,105.9
107.65,104.5
115.3,114.7
114.35,110.7
111.15,110.1
106.05,108.55
100.95,101.4
100.69,104.35
100.1,101.4
109.95,109.8
109.11,109.4
109.4,107.5
115.9,115.4
105.8,104.35
104.9,101.2
114.7,113.85
102.85,108.25
119.9,118.3
112.9,112.2
113.35,117.3
98.32,98.995
110.85,108.1
114.1,106.65
115.1,115.4
101.4,102.05
114.45,119.9
121.65,117.5
109.6,109.4
101.2,103.76
108.1,115.8
114.0,108.1
109.8,110.65
101.0,104.0
113.15,115.9
94.85,96.6
119.55,115.6
117.5,121.4625
110.7,108.35
114.3,110.85
111.55,113.66
102.5,103.45
113.72,114.7
116.75,115.8
115.4,109.8
117.8,116.0
109.05,106.65
109.5,100.69
103.76,104.0
108.25,105.05
119.45,121.4625
108.25,109.45
113.37,114.7
128.35,124.3
126.05,128.05
108.1,112.9
120.5,116.85
116.75,117.25
109.5,109.5
120.0,124.3
121.1,117.5
117.8,115.6
114.9,119.8
116.8,114.9
121.35,111.6375
113.66,114.35
110.95,112.9
104.0,103.76
105.05,101.25
111.45,108.1
108.25,106.05
110.7,114.35
108.35,104.0
108.25,104.0
119.2,119.75
114.25,112.05
118.1,121.4625
106.25,99.8
115.8,107.2
115.9,118.5
115.7,121.4625
101.6,101.2
119.5,114.45
114.5,116.35
115.5,108.1
113.3,116.8
106.5,103.15
107.2,108.25
115.25,114.9
114.6,113.85
104.0,115.4
118.65,123.0
114.1,118.1
119.9,114.1
112.2,108.85
114.4,113.72
114.3,112.5
110.0,108.0
113.85,114.6
115.15,115.1
108.55,110.35
110.1,114.9
127.0,128.7
121.8,123.0
110.35,108.55
105.7,104.9
119.75,118.3
102.4,104.9
105.5,103.15
112.55,115.8
108.0,110.0
112.5,110.65
117.05,114.45
109.3,115.8
110.55,113.66
107.9,110.15
106.65,110.9
111.6375,116.75
121.5,119.45
115.55,117.8
103.25,104.35
113.1,113.9
110.9,115.55
105.05,112.0
112.0,105.05
109.5,114.3
107.5,109.8
104.35,105.9
115.55,114.3
114.9,116.35
110.4,109.8
116.35,114.9
115.6,114.1
101.25,106.5
99.75,101.6
119.2,128.05
110.15,107.9
113.35,112.55
118.3,119.9
102.1,106.5
124.3,114.1
102.65,106.65
115.4,115.9
109.8,111.05
121.2,115.7
111.95,112.9
98.995,98.32
102.05,101.6
96.6,94.85
120.0,116.8
103.15,106.5
115.15,111.45
105.8,102.4
123.0,121.4
112.2,110.55
109.8,107.5
104.9,106.25
121.4625,117.5
105.45,107.2
109.45,107.5
112.05,110.7
106.65,99.75
116.85,116.75
115.2,108.1
121.4,118.65
118.5,114.7
110.35,109.11
109.75,112.2
117.65,117.25
121.0,128.7
104.5,105.9
110.65,112.2
128.7,124.3
114.0,114.3
108.85,112.2
111.05,109.75
105.9,104.5
