altura,altura_predita
114.9,110.95000000000002
115.4,120.49999999999999
113.9,114.9
109.5,109.5
128.05,126.05
119.8,118.9
117.3,113.35
109.4,109.5
118.9,119.8
113.65,117.05
112.9,109.4
116.0,114.3
102.7,101.2
103.75,103.45000000000002
117.25,115.4
117.4,117.80000000000001
102.6,104.9
117.05,113.65
103.45,103.75
104.35,102.8
99.8,101.2
101.15,102.80000000000001
102.75,102.8
102.8,101.15
107.65,104.0
115.3,114.7
114.35,111.55
111.15,110.69999999999999
106.05,114.1
100.95,102.75
100.69,104.35
100.1,94.85
109.95,112.9
109.11,109.4
109.4,112.89999999999999
115.9,108.35
105.8,102.6
104.9,102.6
114.7,115.3
102.85,108.25
119.9,120.49999999999999
112.9,109.95
113.35,114.35
98.32,105.05
110.85,112.9
114.1,111.55000000000001
115.1,119.8
101.4,100.1
114.45,120.0
121.65,117.5
109.6,103.45000000000002
101.2,102.7
108.1,111.45
114.0,108.10000000000001
109.8,114.35
101.0,104.0
113.15,114.7
94.85,100.1
119.55,121.34999999999998
117.5,119.44999999999999
110.7,108.35
114.3,116.0
111.55,114.35
102.5,102.7
113.72,113.37
116.75,111.55
115.4,117.25
117.8,115.4
109.05,115.4
109.5,109.39999999999999
103.76,108.25
108.25,108.25
119.45,120.0
108.25,103.75
113.37,113.72
128.35,128.05
126.05,128.05
108.1,112.9
120.5,115.4
116.75,115.1
109.5,109.5
120.0,119.45
121.1,119.90000000000002
117.8,119.2
114.9,113.9
116.8,118.90000000000002
121.35,114.45
113.66,116.74999999999999
110.95,111.45
104.0,107.65
105.05,98.32
111.45,108.1
108.25,108.25
110.7,111.14999999999999
108.35,115.9
108.25,108.35
119.2,117.8
114.25,110.55000000000001
118.1,121.8
106.25,104.9
115.8,109.3
115.9,118.5
115.7,115.55
101.6,106.65
119.5,118.3
114.5,115.54999999999998
115.5,119.9
113.3,112.55
106.5,102.1
107.2,108.85
115.25,114.9
114.6,113.84999999999998
104.0,114.00000000000001
118.65,121.4
114.1,119.75
119.9,118.3
112.2,108.85
114.4,113.85
114.3,112.5
110.0,108.00000000000001
113.85,114.6
115.15,109.5
108.55,111.05000000000001
110.1,113.1
127.0,128.7
121.8,118.1
110.35,108.55
105.7,105.45
119.75,117.05
102.4,105.9
105.5,112.2
112.55,113.3
108.0,110.0
112.5,110.65
117.05,119.75
109.3,114.0
110.55,112.19999999999999
107.9,115.15
106.65,110.4
111.6375,117.05
121.5,119.9
115.55,114.5
103.25,104.49999999999999
113.1,110.1
110.9,107.9
105.05,110.35
112.0,111.05
109.5,113.35
107.5,109.8
104.35,102.1
115.55,113.29999999999998
114.9,115.55
110.4,106.65
116.35,114.9
115.6,119.90000000000002
101.25,102.4
99.75,101.6
119.2,121.5
110.15,115.2
113.35,110.55
118.3,119.9
102.1,105.9
124.3,123.0
102.65,101.59999999999998
115.4,112.55
109.8,111.05
121.2,116.85
111.95,109.75
98.995,101.6
102.05,99.75
96.6,102.05
120.0,116.85
103.15,104.35
115.15,115.2
105.8,106.25
123.0,124.3
112.2,110.65
109.8,107.5
104.9,106.25
121.4625,119.75
105.45,105.7
109.45,109.8
112.05,110.55
106.65,101.6
116.85,121.20000000000002
115.2,110.14999999999999
121.4,118.65
118.5,115.89999999999999
110.35,115.2
109.75,109.8
117.65,117.05
121.0,123.0
104.5,102.4
110.65,112.2
128.7,127.0
114.0,109.3
108.85,105.45
111.05,108.55
105.9,102.1
