altura,altura_predita
108.3,108.65600000000002
114.9,121.585
115.4,117.405
113.9,114.42999999999999
109.5,110.655
128.05,121.21999999999998
119.8,117.595
117.3,119.38499999999999
109.4,107.78600000000002
118.9,117.68499999999999
113.65,113.44000000000001
112.9,112.00600000000001
116.0,116.49000000000001
102.7,102.17699999999999
103.75,103.075
117.25,117.18499999999999
117.4,119.02499999999998
102.6,103.32000000000001
117.05,114.88899999999998
103.45,103.6
104.35,102.63499999999999
99.8,100.571
101.15,101.522
102.75,103.19500000000001
102.8,103.66499999999999
107.65,104.38499999999999
115.3,114.38499999999999
114.35,116.01899999999998
111.15,111.934
106.05,108.28299999999999
100.95,100.72200000000001
100.69,102.125
100.1,101.092
109.95,109.60200000000002
109.11,107.27000000000001
109.4,108.612
115.9,114.49000000000001
105.8,104.495
104.9,102.595
114.7,114.36500000000001
102.85,101.772
119.9,118.13
112.9,112.31499999999998
113.35,115.095
98.32,100.845
110.85,110.22
114.1,113.005
115.1,117.13999999999999
111.6,111.75900000000001
105.05,107.56599999999999
101.4,100.717
114.45,120.61500000000001
121.65,118.86000000000001
109.6,106.38600000000001
101.2,100.55699999999999
108.1,113.79999999999998
110.15,109.221
114.0,116.325
109.8,110.52000000000001
101.0,100.58200000000001
113.15,113.91000000000001
94.85,100.93700000000001
111.1,111.417
105.4,107.58599999999998
106.2,103.84500000000003
119.55,119.72999999999999
117.5,121.08999999999999
110.7,110.421
107.9,106.28099999999999
116.35,115.165
108.32,107.62
114.3,116.1
111.55,111.03
102.5,102.63500000000002
113.72,114.128
116.75,115.63500000000002
111.95,110.731
115.4,116.30999999999999
110.1,110.117
117.8,116.09499999999998
109.05,108.471
109.5,107.776
103.76,107.63
108.1,107.907
108.25,107.56200000000001
119.45,121.50999999999999
109.9,110.505
108.25,106.05500000000002
113.37,113.81799999999998
128.35,121.495
126.05,121.22999999999999
108.1,106.31500000000001
120.5,118.745
116.75,118.4
109.5,110.745
116.1,116.77000000000001
120.0,120.85
121.1,121.19000000000001
117.8,117.94000000000001
114.9,117.48500000000001
116.8,117.825
121.35,120.55999999999999
113.66,114.46900000000001
110.95,114.43000000000002
104.0,103.19500000000001
105.05,102.21000000000001
111.45,114.38000000000002
108.25,107.39199999999998
110.7,111.979
108.35,108.06799999999998
108.25,106.14000000000001
119.2,119.05
107.8,106.93000000000002
114.25,113.6
100.2,103.84499999999998
118.1,119.905
106.2,106.31500000000001
106.25,106.60499999999999
109.15,108.255
115.8,114.875
97.2,101.2145
115.9,115.175
115.7,117.32625
101.6,102.5145
106.0,104.76500000000001
119.5,122.25500000000002
114.5,115.34
115.5,116.975
113.3,114.27499999999998
106.5,104.60500000000002
107.2,105.62
115.25,115.31499999999998
114.6,113.79499999999999
119.3,122.02625
104.0,104.465
120.3,120.75
118.65,122.04625000000001
114.1,116.98499999999999
119.9,119.87
102.5,103.745
112.2,111.81500000000001
114.4,114.475
114.3,116.45374999999999
110.0,108.73499999999999
113.85,113.68999999999998
115.15,114.475
108.55,106.33
110.1,115.58874999999998
117.75,119.97
127.0,121.50500000000002
121.8,120.975
110.35,108.7
105.7,105.99000000000001
117.05,117.4
119.75,120.04125000000002
102.4,103.22
105.5,106.245
112.55,113.85
108.0,107.80499999999999
112.5,114.66375000000001
117.05,117.15
109.3,108.5
110.55,111.3
107.9,106.97
106.65,103.575
112.75,112.16
111.6375,114.33
121.5,120.675
113.85,114.43375
114.05,114.50874999999999
115.55,116.84625000000001
103.25,103.54
113.1,115.92375
110.9,115.06500000000001
105.05,103.93000000000002
112.0,111.53
109.5,111.89500000000001
107.5,103.9295
104.35,104.19000000000001
115.55,114.91000000000001
114.9,115.965
110.4,108.575
116.35,116.13500000000002
115.6,117.905
101.25,101.4145
99.75,101.99449999999999
119.2,120.58999999999999
110.15,108.755
113.35,113.71000000000001
118.3,120.14000000000001
102.1,103.34
124.3,121.94499999999998
110.75,110.49000000000001
102.65,102.2445
115.4,115.475
109.8,110.585
121.2,119.58624999999999
111.95,112.13
98.995,101.63
102.05,102.3295
96.6,101.5645
120.0,120.50125
103.15,104.875
115.15,114.88
105.8,103.02450000000002
123.0,122.075
112.2,110.845
109.8,107.86000000000001
104.9,103.595
121.4625,121.72999999999999
105.45,104.33
109.45,107.78000000000002
112.05,111.455
106.65,104.7295
116.85,118.66
115.2,114.455
121.4,121.77125000000001
118.5,116.035
110.35,109.68499999999999
109.75,111.25999999999999
117.65,117.69499999999998
121.0,122.275
104.5,103.2295
110.65,110.5
128.7,121.74125
114.0,113.7
108.85,108.09
111.05,111.30499999999999
105.9,104.43499999999999
