altura,altura_predita
108.3,107.542
114.9,118.55
115.4,115.7
113.9,114.58
109.5,111.33
128.05,124.03
119.8,117.35
117.3,118.67999999999999
109.4,108.232
118.9,117.53
113.65,113.17999999999999
112.9,111.24000000000001
116.0,115.91
102.7,102.92
103.75,103.80999999999999
117.25,116.00999999999999
117.4,117.94000000000001
102.6,103.42
117.05,114.92
103.45,103.85999999999999
104.35,103.68999999999998
99.8,101.47999999999999
101.15,102.39000000000001
102.75,103.5
102.8,103.52000000000001
107.65,106.96
115.3,113.74600000000001
114.35,114.78800000000001
111.15,111.80999999999999
106.05,108.854
100.95,101.76
100.69,103.30999999999999
100.1,101.374
109.95,109.024
109.11,108.28999999999999
109.4,108.61399999999999
115.9,114.792
105.8,103.38999999999999
104.9,103.17999999999999
114.7,113.79
102.85,103.98999999999998
119.9,119.60999999999999
112.9,112.03200000000001
113.35,113.22999999999999
98.32,99.69
110.85,111.65
114.1,112.748
115.1,115.17999999999999
111.6,112.08400000000002
105.05,109.102
101.4,101.74
114.45,116.55999999999999
121.65,119.6
109.6,108.832
101.2,101.71000000000001
108.1,111.92999999999999
110.15,110.08000000000001
114.0,111.97
109.8,111.22
101.0,101.17
113.15,111.90400000000002
94.85,100.15400000000001
111.1,111.82000000000001
105.4,107.38199999999999
106.2,107.25
119.55,118.19000000000001
117.5,119.42999999999999
110.7,109.8
107.9,108.532
116.35,115.20599999999999
108.32,108.38
114.3,115.27000000000001
111.55,110.87
102.5,101.97
113.72,113.41600000000001
116.75,115.26400000000001
111.95,111.38999999999999
115.4,115.4
110.1,111.05
117.8,116.16000000000001
109.05,109.0
109.5,108.21199999999999
103.76,106.85999999999999
108.1,109.574
108.25,108.85400000000001
119.45,118.9
109.9,110.3
108.25,108.18999999999998
113.37,113.55600000000001
128.35,123.97
126.05,124.42999999999999
108.1,107.95
120.5,119.83
116.75,117.96000000000001
109.5,111.01000000000002
116.1,115.25999999999999
120.0,118.05
121.1,119.91
117.8,116.61999999999998
114.9,115.8
116.8,116.27000000000001
121.35,118.28
113.66,113.75800000000001
110.95,112.91999999999999
104.0,105.12
105.05,102.86000000000001
111.45,111.91
108.25,108.854
110.7,111.9
108.35,109.09
108.25,106.32000000000001
119.2,117.83000000000001
107.8,108.83999999999999
114.25,114.4
100.2,102.35
118.1,119.00999999999999
106.2,107.55
106.25,106.19000000000001
109.15,109.53
115.8,114.33
97.2,99.72900000000001
115.9,115.04
115.7,115.29
101.6,102.03999999999999
106.0,105.13
119.5,119.82000000000001
114.5,114.83000000000001
115.5,118.58999999999999
113.3,114.03
106.5,105.67
107.2,104.96
115.25,114.3
114.6,115.35999999999999
119.3,120.2125
104.0,105.63999999999999
120.3,121.3
118.65,120.33250000000001
114.1,116.3
119.9,119.03999999999999
102.5,102.87
112.2,112.2
114.4,115.03999999999999
114.3,114.2375
110.0,109.85999999999999
113.85,113.4
115.15,115.25
108.55,110.31000000000002
110.1,113.39750000000001
117.75,119.28
127.0,123.46
121.8,120.25
110.35,109.79
105.7,105.83
117.05,117.76000000000002
119.75,118.82249999999999
102.4,103.78
105.5,106.22999999999999
112.55,113.95
108.0,109.54
112.5,113.9375
117.05,115.71000000000001
109.3,109.38999999999999
110.55,111.33000000000001
107.9,108.22999999999999
106.65,105.82000000000001
112.75,112.82000000000001
111.6375,114.10999999999999
121.5,117.75999999999999
113.85,113.54749999999999
114.05,113.62750000000001
115.55,115.1
103.25,103.02000000000001
113.1,113.1475
110.9,112.23999999999998
105.05,105.38
112.0,111.03999999999999
109.5,112.68000000000002
107.5,105.62
104.35,105.16999999999999
115.55,115.45
114.9,114.65
110.4,109.75
116.35,114.82000000000001
115.6,117.26000000000002
101.25,101.66
99.75,102.41
119.2,123.01000000000002
110.15,109.83
113.35,112.99000000000001
118.3,119.25999999999999
102.1,104.39000000000001
124.3,123.18000000000002
110.75,110.65
102.65,102.22999999999999
115.4,115.18000000000002
109.8,111.22999999999999
121.2,118.92
111.95,111.35
98.995,99.74000000000001
102.05,102.58000000000001
96.6,99.849
120.0,118.60999999999999
103.15,105.13
115.15,114.79
105.8,105.18999999999998
123.0,121.75999999999999
112.2,110.92
109.8,109.25999999999999
104.9,104.83
121.4625,119.82000000000001
105.45,105.31000000000002
109.45,109.49000000000001
112.05,112.05
106.65,105.79
116.85,117.16
115.2,114.16
121.4,120.58250000000001
118.5,115.55999999999999
110.35,109.08
109.75,110.84
117.65,116.42999999999999
121.0,122.0
104.5,103.87
110.65,110.87
128.7,123.42
114.0,113.66
108.85,108.53999999999999
111.05,111.23000000000002
105.9,105.1
