altura,altura_predita
109.95,112.6
113.3,112.0
109.7,115.8
113.6,119.05
108.7,108.15
111.1,119.05
104.45,107.25
108.15,115.25
121.65,116.8
125.7,121.65
113.6,108.15
117.8,117.55
112.6,109.95
115.25,108.15
103.0,96.6
108.0,102.05
114.55,117.7
117.05,113.65
108.35,110.2
112.5,115.5
106.6,106.55
111.4,105.2
110.2,109.1
114.4,108.65
97.65,105.0
102.2,103.65
96.6,103.0
102.05,107.2
110.2,108.35
115.5,112.5
110.5,107.2
116.0,119.1
97.3,97.4
100.65,102.45
110.8,106.5
114.4,112.95
97.8,103.0
102.9,97.55
98.1,96.45
101.15,103.1
94.7,100.6
98.3,100.2
94.55,97.5
100.55,103.1
97.4,97.5
102.45,95.1
97.2,102.65
100.6,94.7
101.3,95.65
104.8,103.15
110.4,111.85
113.95,115.0
109.35,109.9
112.65,110.55
107.25,106.4
109.35,110.1
101.9,109.2
104.55,106.4
96.15,95.3
99.6,106.65
95.3,96.15
98.25,98.95
93.25,90.2
98.5,93.2
105.1,105.4
107.9,114.0
101.85,102.65
107.2,102.05
103.65,102.2
107.2,110.5
110.65,114.35
114.5,110.55
98.1,97.3
102.35,108.0
98.65,102.65
103.1,100.55
109.05,114.1
113.4,112.4
97.4,100.6
101.0,101.2
115.6,115.0
117.55,123.65
107.3,108.3
110.2,109.1
107.45,106.4
111.0,110.95
93.35,94.55
95.1,102.45
106.45,103.95
109.9,106.5
108.3,109.95
112.0,113.3
110.95,111.6
113.65,115.65
96.7,90.2
98.35,101.2
107.75,109.15
113.7,110.55
116.95,107.15
119.7,108.05
102.65,96.6
106.3,100.55
97.5,102.45
100.2,103.1
103.95,101.75
106.5,109.9
96.45,98.1
101.2,98.35
105.6,102.05
109.1,114.35
105.2,111.4
108.45,111.6
95.65,101.3
99.15,102.5
108.3,110.5
110.55,114.5
90.2,93.25
93.2,98.5
111.65,115.5
117.45,112.75
111.75,115.05
115.65,113.65
106.1,114.45
109.1,110.2
111.0,109.1
112.7,114.25
106.05,107.3
108.15,113.6
97.55,100.55
102.3,106.45
109.15,107.75
111.85,110.4
110.95,102.55
114.0,107.9
109.65,110.2
114.35,110.65
109.45,110.1
117.1,113.8
105.0,97.65
107.3,107.35
102.65,97.2
108.0,102.35
100.0,109.95
102.3,104.55
102.5,103.15
106.6,106.4
112.75,117.45
116.8,117.7
114.05,111.6
119.1,116.0
102.45,97.5
107.35,107.3
108.65,114.4
112.4,113.4
122.1,118.55
126.0,123.65
120.3,115.0
123.65,117.55
103.1,101.15
106.4,107.45
115.05,117.05
118.55,122.1
112.95,117.05
115.8,109.7
105.65,109.95
108.05,119.7
114.25,112.7
117.7,116.8
115.9,116.7
119.05,111.1
111.6,114.05
115.05,117.7
111.25,109.35
113.8,117.1
110.55,112.65
115.0,113.95
114.45,106.1
117.05,112.95
109.2,101.9
111.6,108.45
106.55,106.6
109.9,109.35
98.95,98.25
102.55,110.95
97.5,97.4
102.4,100.65
106.65,99.6
109.9,110.95
103.15,102.5
106.4,106.6
106.4,107.25
110.1,109.35
103.45,107.2
107.15,116.95
101.75,103.95
105.4,105.2
114.1,109.05
116.7,115.9
109.95,103.0
112.45,109.95
113.0,109.6
115.8,119.55
101.35,99.7
105.05,99.6
109.95,102.35
112.35,111.05
110.6,103.0
113.45,115.9
110.05,109.95
114.3,113.4
96.05,95.55
99.6,97.55
113.85,110.15
117.55,114.1
109.65,113.05
112.85,112.4
109.25,103.1
113.4,109.05
108.2,108.55
111.1,114.3
101.3,104.7
104.8,108.6
101.8,104.4
105.0,108.35
109.15,114.3
113.2,116.15
109.95,112.4
112.95,112.4
101.05,108.75
103.0,110.6
113.95,117.5
117.95,116.55
108.4,112.5
112.4,112.85
113.9,109.95
118.0,117.55
106.3,108.75
110.8,108.2
110.1,109.85
113.35,116.3
109.15,106.8
112.0,110.85
104.6,102.15
107.95,108.75
109.1,115.3
111.9,112.95
110.85,107.4
112.4,112.95
102.85,105.5
105.6,108.0
104.3,108.75
107.4,111.4
122.1,127.45
125.3,127.45
116.3,118.95
119.55,115.8
104.7,101.3
108.6,104.8
102.15,104.6
105.3,101.9
114.3,112.1
117.5,113.95
97.2,98.25
101.0,100.2
100.75,102.4
104.65,104.8
107.45,103.2
111.05,112.35
103.75,102.05
106.2,104.75
108.75,106.3
111.2,111.9
110.7,103.1
114.15,109.05
104.6,102.05
107.75,114.35
105.2,103.5
109.2,108.55
102.05,104.9
106.2,108.4
