altura,altura_predita
109.95,-10519.855329785742
113.3,2485.0191445600144
109.7,11475.862319463422
113.6,21783.383014141833
108.7,3376.983486182373
111.1,19965.834707620514
104.45,-9005.59011179915
108.15,10066.308656440171
121.65,16546.317435253208
125.7,22859.886141841045
113.6,-4504.504869726405
117.8,18911.74760867368
112.6,-8505.305517592908
115.25,512.4245511007856
103.0,26209.486643352408
108.0,-142.2861824828443
114.55,-3193.523816185273
117.05,20397.60425231906
108.35,-6903.124417455552
112.5,-4497.936773691938
106.6,-1801.3452658607011
111.4,-9671.461723220707
110.2,-10287.846124973708
114.4,-10.296367451669767
97.65,15238.410509112144
102.2,-290.9690490135222
96.6,21417.414914038738
102.05,-2364.386655490773
110.2,-9759.071588359022
115.5,-9559.606989375578
110.5,-11151.90381136606
116.0,10885.290493626488
97.3,30569.441374645798
100.65,5837.040450845709
110.8,-11701.859874854808
114.4,4356.189693320459
97.8,21901.56671526373
102.9,295.87037251845175
98.1,35684.911865429036
101.15,9291.366576877177
94.7,18185.353267679824
98.3,6397.781976293656
94.55,35081.729155620116
100.55,11192.848665851949
97.4,36701.55048989543
102.45,23012.21004756939
97.2,34920.83020699483
100.6,15945.726088443147
101.3,16199.900155030582
104.8,-5945.386745251376
110.4,5699.437526341259
113.95,18704.494722675852
109.35,-11296.019905350979
112.65,-3270.7690142655097
107.25,-7083.653319170405
109.35,9176.43788747628
101.9,-8815.230423703288
104.55,-8833.602531750294
96.15,28359.640736836125
99.6,12965.60083847667
95.3,27602.004283022983
98.25,8573.091116356756
93.25,37801.86157230759
98.5,25712.430281500754
105.1,-5178.569319352848
107.9,-5551.896787247129
101.85,19673.140533797046
107.2,-4770.086446689735
103.65,6322.427236126492
107.2,-11399.62778047761
110.65,-11846.09392976142
114.5,-4032.310482795684
98.1,33615.32485260136
102.35,9064.85428327099
98.65,26931.224518403687
103.1,7387.245202916123
109.05,-2579.8440461620585
113.4,11407.804289067692
97.4,20410.333617404853
101.0,-1082.8537033889445
115.6,10220.160250463105
117.55,23110.596616369185
107.3,-4520.784505158062
110.2,2086.496591008305
107.45,-8155.006870810957
111.0,-9011.22766037281
93.35,33661.82148832798
95.1,23543.385250131887
106.45,-6577.930859283341
109.9,-10401.97699192004
108.3,-10647.315677855751
112.0,-2423.6468333874996
110.95,-7680.2998488322155
113.65,14078.65663172835
96.7,39257.87023257041
98.35,19561.91586209717
107.75,-5307.516070221432
113.7,10258.412429136035
116.95,11120.654911829954
119.7,19736.218575691157
102.65,20517.793013785
106.3,3077.595317343324
97.5,20273.06964477988
100.2,4034.9225986723623
103.95,-8310.51277193903
106.5,-11124.580933042225
96.45,22325.39193699528
101.2,10354.027049744736
105.6,-7226.533972322288
109.1,-12821.201673900934
105.2,-11452.695149711888
108.45,1355.836644216526
95.65,17380.52429326315
99.15,-2735.9011900397913
108.3,-10287.2532874348
110.55,4160.882720796003
90.2,37918.61871301139
93.2,29773.078477590403
111.65,-13078.667454156295
117.45,-1548.4846948824634
111.75,4457.7450332537555
115.65,18676.170488895004
106.1,-11349.626000356597
109.1,-951.5738378306164
111.0,-10954.267508002877
112.7,-6457.0829143933515
106.05,-11204.791682851164
108.15,-3621.9972260036134
97.55,11499.186717085444
102.3,-9655.49892567152
109.15,-9803.665680613714
111.85,11927.092984055962
110.95,-11537.041000644378
114.0,-6068.635555461503
109.65,-4560.110084721974
114.35,-12861.635127338543
109.45,17506.347037078456
117.1,24884.695668614895
105.0,6693.609541078974
107.3,-8695.397482733339
102.65,27966.40943970911
