altura,altura_predita
114.9,111.15
115.4,113.9
113.9,114.7
109.5,110.1
128.05,121.0
119.8,110.7
117.3,110.1
109.4,103.75
118.9,119.9
113.65,119.55
112.9,107.2
116.0,110.7
102.7,107.5
103.75,109.4
117.25,113.37
117.4,117.25
102.6,104.35
117.05,104.0
103.45,109.6
104.35,102.65
99.8,102.65
101.15,100.1
102.75,107.65
102.8,98.995
107.65,104.0
115.3,116.8
114.35,114.45
111.15,117.3
106.05,103.76
100.95,101.15
100.69,101.0
100.1,94.85
109.95,109.4
109.11,109.5
109.4,109.95
115.9,108.35
105.8,108.25
104.9,104.5
114.7,113.9
102.85,101.2
119.9,120.0
112.9,110.95
113.35,108.25
98.32,101.15
110.85,109.4
114.1,112.5
115.1,119.8
101.4,99.75
114.45,114.35
121.65,120.5
109.6,103.45
101.2,102.65
108.1,110.7
114.0,109.4
109.8,110.7
101.0,100.95
113.15,117.05
94.85,100.1
119.55,114.1
117.5,120.0
110.7,115.4
114.3,114.9
111.55,113.35
102.5,101.25
113.72,111.95
116.75,109.8
115.4,110.7
117.8,114.7
109.05,103.75
109.5,105.8
103.76,106.05
108.25,110.35
119.45,120.0
108.25,105.8
113.37,114.45
128.35,126.05
126.05,119.9
108.1,108.0
120.5,116.75
116.75,113.72
109.5,103.76
120.0,114.5
121.1,113.9
117.8,115.3
114.9,111.95
116.8,115.3
121.35,111.6375
113.66,106.05
110.95,108.1
104.0,107.65
105.05,98.32
111.45,110.0
108.25,110.35
110.7,109.5
108.35,115.9
108.25,113.35
119.2,114.7
114.25,117.05
118.1,120.0
106.25,99.8
115.8,112.55
115.9,119.2
115.7,115.55
101.6,103.25
119.5,116.35
114.5,117.65
115.5,113.3
113.3,115.5
106.5,104.0
107.2,114.9
115.25,115.3
114.6,113.85
104.0,114.25
118.65,115.6
114.1,114.5
119.9,114.25
112.2,109.8
114.4,114.1
114.3,110.7
110.0,111.45
113.85,121.1
115.15,111.6375
108.55,109.8
110.1,117.3
127.0,128.7
121.8,126.05
110.35,106.5
105.7,110.35
119.75,113.85
102.4,102.1
105.5,108.25
112.55,112.05
108.0,108.1
112.5,107.2
117.05,114.1
109.3,108.85
110.55,110.65
107.9,110.9
106.65,108.25
111.6375,121.35
121.5,114.9
115.55,115.7
103.25,101.15
113.1,121.65
110.9,102.5
105.05,105.9
112.0,110.9
109.5,111.15
107.5,102.7
104.35,102.4
115.55,115.9
114.9,121.4
110.4,106.65
116.35,119.5
115.6,118.65
101.25,102.5
99.75,103.15
119.2,121.5
110.15,109.4
113.35,116.0
118.3,120.0
102.1,107.65
124.3,123.0
102.65,98.995
115.4,112.55
109.8,108.55
121.2,118.65
111.95,113.72
98.995,102.65
102.05,101.4
96.6,99.75
120.0,118.3
103.15,101.6
115.15,115.2
105.8,109.05
123.0,121.8
112.2,108.55
109.8,110.9
104.9,105.45
121.4625,120.0
105.45,104.9
109.45,115.1
112.05,112.55
106.65,102.4
116.85,111.95
115.2,108.35
121.4,121.5
118.5,113.1
110.35,115.15
109.75,110.1
117.65,115.55
121.0,123.0
104.5,101.2
110.65,110.55
128.7,127.0
114.0,113.3
108.85,112.2
111.05,105.45
105.9,109.6
