altura,altura_predita
114.9,110.69200000000001
115.4,116.97999999999999
113.9,118.02000000000001
109.5,112.30999999999999
128.05,122.13999999999999
119.8,113.354
117.3,110.75
109.4,105.72199999999998
118.9,119.10999999999999
113.65,116.88000000000002
112.9,110.67999999999999
116.0,112.43999999999998
102.7,106.59
103.75,106.85200000000002
117.25,114.88
117.4,116.01999999999998
102.6,103.64000000000001
117.05,114.95
103.45,107.352
104.35,102.28999999999999
99.8,104.30999999999999
101.15,104.54
102.75,102.624
102.8,103.63
107.65,101.72
115.3,117.76999999999998
114.35,112.918
111.15,113.05999999999999
106.05,111.59400000000001
100.95,103.39000000000001
100.69,102.38000000000001
100.1,99.602
109.95,114.23999999999998
109.11,107.42999999999999
109.4,110.42999999999999
115.9,113.76999999999998
105.8,105.452
104.9,105.362
114.7,116.604
102.85,102.57000000000001
119.9,121.96
112.9,113.8
113.35,112.07000000000001
98.32,102.91999999999999
110.85,111.69000000000001
114.1,110.852
115.1,115.33399999999999
101.4,101.382
114.45,115.06800000000001
121.65,117.71
109.6,104.54
101.2,105.23999999999998
108.1,111.09
114.0,109.25
109.8,111.69000000000001
101.0,103.228
113.15,114.32000000000001
94.85,100.652
119.55,117.66
117.5,118.09
110.7,114.0
114.3,113.66
111.55,111.09200000000001
102.5,108.41999999999999
113.72,114.374
116.75,112.16199999999999
115.4,110.12
117.8,117.16000000000001
109.05,105.32000000000001
109.5,106.63199999999999
103.76,112.05199999999999
108.25,107.47999999999999
119.45,118.75
108.25,104.42999999999999
113.37,115.28400000000002
128.35,120.27000000000001
126.05,120.72999999999999
108.1,107.9
120.5,116.88
116.75,117.68800000000002
109.5,112.30999999999999
120.0,117.37
121.1,116.38
117.8,118.24000000000001
114.9,117.47999999999999
116.8,119.21
121.35,111.954
113.66,110.602
110.95,109.9
104.0,107.31000000000002
105.05,102.72999999999999
111.45,109.15
108.25,107.57000000000001
110.7,112.99000000000001
108.35,115.924
108.25,110.94000000000001
119.2,115.578
114.25,115.99749999999999
118.1,117.67
106.25,105.09
115.8,111.05999999999999
115.9,117.3
115.7,115.34
101.6,102.82000000000001
119.5,117.53
114.5,116.55
115.5,112.75
113.3,113.26999999999998
106.5,104.46999999999998
107.2,110.30999999999999
115.25,116.35
114.6,115.67
104.0,115.38
118.65,119.3
114.1,116.15
119.9,116.25
112.2,110.71
114.4,118.45
114.3,111.55
110.0,107.33
113.85,117.78000000000002
115.15,113.35
108.55,110.03999999999999
110.1,112.16
127.0,123.23999999999998
121.8,120.13
110.35,104.69000000000001
105.7,107.75
119.75,115.45
102.4,104.57000000000001
105.5,108.9
112.55,113.72999999999999
108.0,107.29
112.5,110.77000000000001
117.05,112.63
109.3,111.35999999999999
110.55,111.25750000000001
107.9,111.19000000000001
106.65,108.38
111.6375,111.45
121.5,116.19000000000001
115.55,115.37
103.25,101.87899999999999
113.1,118.71
110.9,107.97
105.05,107.88
112.0,109.60999999999999
109.5,112.71
107.5,106.88
104.35,105.6
115.55,113.6
114.9,117.9625
110.4,110.81000000000002
116.35,118.42
115.6,117.25999999999999
101.25,106.09
99.75,102.50899999999999
119.2,118.88
110.15,111.50999999999999
113.35,112.46
118.3,117.78
102.1,104.97
124.3,120.59
102.65,103.929
115.4,114.22999999999999
109.8,110.17999999999999
121.2,121.13
111.95,114.38
98.995,103.35999999999999
102.05,101.57000000000001
96.6,102.66
120.0,117.33
103.15,105.75999999999999
115.15,111.80999999999999
105.8,106.28999999999999
123.0,121.94000000000001
112.2,111.53
109.8,108.19000000000001
104.9,107.15
121.4625,116.8
105.45,109.22
109.45,114.09
112.05,111.44749999999999
106.65,101.199
116.85,114.92999999999999
115.2,111.8
121.4,120.49000000000001
118.5,116.78
110.35,113.92
109.75,111.3075
117.65,114.95
121.0,123.5
104.5,104.37
110.65,109.97999999999999
128.7,123.65
114.0,112.60999999999999
108.85,111.4
111.05,108.92999999999999
105.9,105.25
