altura,altura_predita
114.9,109.5
115.4,120.5
113.9,115.9
109.5,115.1
128.05,121.0
119.8,117.05
117.3,102.5
109.4,109.5
118.9,120.0
113.65,113.72
112.9,110.95
116.0,114.9
102.7,106.25
103.75,103.45
117.25,115.9
117.4,128.35
102.6,105.8
117.05,108.35
103.45,103.75
104.35,101.15
99.8,101.2
101.15,104.35
102.75,98.32
102.8,98.32
107.65,105.05
115.3,121.2
114.35,113.66
111.15,110.1
106.05,112.0
100.95,99.75
100.69,106.65
100.1,102.75
109.95,112.9
109.11,108.25
109.4,110.15
115.9,110.55
105.8,102.65
104.9,104.5
114.7,114.45
102.85,102.7
119.9,116.8
112.9,109.95
113.35,108.85
98.32,106.65
110.85,107.2
114.1,106.05
115.1,109.8
101.4,96.6
114.45,115.3
121.65,117.5
109.6,103.45
101.2,99.8
108.1,110.7
114.0,104.0
109.8,116.75
101.0,104.0
113.15,117.8
94.85,100.1
119.55,113.65
117.5,121.65
110.7,108.1
114.3,115.9
111.55,110.7
102.5,105.7
113.72,116.8
116.75,114.35
115.4,114.0
117.8,116.35
109.05,106.65
109.5,102.85
103.76,108.25
108.25,108.25
119.45,117.5
108.25,109.11
113.37,120.5
128.35,118.1
126.05,128.35
108.1,112.2
120.5,116.85
116.75,116.85
109.5,114.9
120.0,124.3
121.1,115.25
117.8,113.15
114.9,119.8
116.8,118.9
121.35,116.75
113.66,114.35
110.95,112.9
104.0,108.25
105.05,100.69
111.45,115.2
108.25,108.25
110.7,109.5
108.35,115.1
108.25,110.85
119.2,113.72
114.25,115.5
118.1,121.65
106.25,102.4
115.8,116.75
115.9,119.9
115.7,115.55
101.6,104.35
119.5,113.72
114.5,114.1
115.5,115.55
113.3,116.85
106.5,105.05
107.2,112.2
115.25,119.45
114.6,117.8
104.0,113.3
118.65,123.0
114.1,115.6
119.9,113.72
112.2,109.8
114.4,118.3
114.3,109.5
110.0,105.45
113.85,117.8
115.15,113.1
108.55,111.05
110.1,111.15
127.0,128.7
121.8,123.0
110.35,108.55
105.7,105.45
119.75,115.9
102.4,104.5
105.5,108.25
112.55,113.1
108.0,109.8
112.5,110.65
117.05,114.7
109.3,115.15
110.55,112.55
107.9,108.85
106.65,115.2
111.6375,114.25
121.5,115.55
115.55,115.7
103.25,105.05
113.1,115.15
110.9,115.15
105.05,112.0
112.0,105.5
109.5,114.3
107.5,109.11
104.35,100.69
115.55,115.5
114.9,115.6
110.4,105.8
116.35,113.85
115.6,117.8
101.25,105.9
99.75,100.1
119.2,121.0
110.15,112.9
113.35,110.1
118.3,119.9
102.1,105.9
124.3,117.5
102.65,105.8
115.4,108.1
109.8,108.85
121.2,115.3
111.95,117.3
98.995,102.8
102.05,96.6
96.6,102.05
120.0,116.8
103.15,106.5
115.15,110.9
105.8,110.4
123.0,121.8
112.2,107.2
109.8,107.5
104.9,105.8
121.4625,115.25
105.45,109.8
109.45,110.15
112.05,112.55
106.65,105.05
116.85,116.75
115.2,110.15
121.4,123.0
118.5,117.05
110.35,109.45
109.75,117.3
117.65,116.75
121.0,128.7
104.5,101.2
110.65,110.85
128.7,127.0
114.0,110.65
108.85,109.8
111.05,108.55
105.9,102.1
