altura,altura_predita
114.9,110.69999999999999
115.4,120.5
113.9,115.4
109.5,109.5
128.05,126.05
119.8,118.89999999999999
117.3,114.1
109.4,109.49999999999999
118.9,116.8
113.65,108.25
112.9,110.95
116.0,117.05
102.7,102.85
103.75,103.45
117.25,114.0
117.4,117.8
102.6,109.50000000000001
117.05,108.35
103.45,103.75
104.35,101.15
99.8,101.2
101.15,102.8
102.75,100.10000000000001
102.8,101.15
107.65,101.0
115.3,120.5
114.35,113.66000000000001
111.15,109.49999999999999
106.05,103.75999999999999
100.95,100.69
100.69,100.95
100.1,102.74999999999999
109.95,110.95
109.11,103.75
109.4,112.9
115.9,114.3
105.8,102.6
104.9,109.50000000000001
114.7,114.45
102.85,101.2
119.9,115.4
112.9,117.3
113.35,116.74999999999999
98.32,105.05
110.85,108.1
114.1,114.9
115.1,109.50000000000001
101.4,102.75
114.45,114.7
121.65,117.5
109.6,103.75
101.2,102.85
108.1,110.85
114.0,115.4
109.8,110.7
101.0,107.65
113.15,119.55
94.85,100.1
119.55,113.15
117.5,121.65000000000002
110.7,114.35
114.3,115.9
111.55,114.9
102.5,108.25
113.72,113.37
116.75,114.35000000000001
115.4,114.0
117.8,119.9
109.05,108.25
109.5,102.6
103.76,106.05
108.25,108.25
119.45,120.0
108.25,102.5
113.37,113.72
128.35,126.05000000000001
126.05,128.05
108.1,111.45
120.5,115.3
116.75,120.49999999999999
109.5,109.49999999999999
120.0,117.8
121.1,119.9
117.8,120.00000000000001
114.9,113.9
116.8,118.9
121.35,114.45
113.66,114.34999999999998
110.95,112.9
104.0,101.00000000000001
105.05,98.32
111.45,110.95
108.25,108.25
110.7,114.9
108.35,117.05
108.25,114.3
119.2,114.45000000000002
114.25,111.6375
118.1,124.3
106.25,110.4
115.8,115.15
115.9,119.75
115.7,121.5
101.6,98.995
119.5,116.35
114.5,114.1
115.5,117.65
113.3,104.0
106.5,105.05
107.2,112.2
115.25,115.9
114.6,113.85
104.0,113.3
118.65,121.4
114.1,114.5
119.9,121.46249999999999
112.2,109.75
114.4,120.0
114.3,111.95
110.0,105.7
113.85,114.6
115.15,116.85
108.55,111.05
110.1,113.35
127.0,128.7
121.8,123.0
110.35,110.0
105.7,110.0
119.75,115.9
102.4,101.25
105.5,112.0
112.55,113.99999999999999
108.0,104.9
112.5,110.65
117.05,117.65
109.3,115.15
110.55,113.1
107.9,110.15
106.65,106.25
111.6375,114.25
121.5,115.7
115.55,114.5
103.25,104.5
113.1,110.55000000000001
110.9,115.14999999999999
105.05,106.5
112.0,110.0
109.5,114.30000000000001
107.5,109.8
104.35,102.1
115.55,113.3
114.9,115.59999999999998
110.4,105.8
116.35,118.29999999999998
115.6,114.9
101.25,102.4
99.75,101.59999999999998
119.2,121.49999999999999
110.15,107.9
113.35,110.1
118.3,116.35
102.1,105.9
124.3,123.00000000000001
102.65,98.995
115.4,104.0
109.8,108.85000000000001
121.2,116.84999999999998
111.95,114.30000000000001
98.995,101.6
102.05,96.6
96.6,102.05
120.0,114.4
103.15,104.35
115.15,109.3
105.8,110.4
123.0,121.8
112.2,110.65
109.8,107.5
104.9,106.25
121.4625,119.9
105.45,108.85
109.45,109.8
112.05,110.1
106.65,103.25
116.85,121.20000000000002
115.2,110.15
121.4,118.65
118.5,115.9
110.35,115.19999999999999
109.75,112.19999999999999
117.65,117.05000000000001
121.0,118.10000000000001
104.5,103.24999999999999
110.65,112.2
128.7,127.0
114.0,109.3
108.85,109.79999999999998
111.05,108.55
105.9,102.1
