altura,altura_predita
114.9,110.7
115.4,117.8
113.9,114.90000000000002
109.5,115.1
128.05,126.05
119.8,118.9
117.3,112.9
109.4,109.5
118.9,116.8
113.65,117.25
112.9,110.95
116.0,117.05
102.7,109.6
103.75,103.44999999999999
117.25,114.0
117.4,117.8
102.6,105.8
117.05,108.34999999999998
103.45,103.75
104.35,101.4
99.8,101.2
101.15,102.8
102.75,100.1
102.8,105.04999999999998
107.65,101.0
115.3,120.5
114.35,113.66
111.15,109.5
106.05,103.76000000000002
100.95,100.69
100.69,100.1
100.1,102.75
109.95,113.35
109.11,103.75
109.4,112.9
115.9,114.3
105.8,102.6
104.9,109.5
114.7,114.44999999999999
102.85,104.90000000000002
119.9,117.8
112.9,117.3
113.35,109.95
98.32,105.05
110.85,108.1
114.1,111.55
115.1,109.5
101.4,104.35
114.45,114.7
121.65,117.5
109.6,103.45
101.2,99.8
108.1,110.85
114.0,115.4
109.8,110.69999999999999
101.0,107.65
113.15,119.55
94.85,100.1
119.55,113.15
117.5,119.2
110.7,114.35
114.3,115.9
111.55,114.89999999999999
102.5,108.25
113.72,113.37
116.75,114.35
115.4,114.00000000000001
117.8,115.4
109.05,108.25
109.5,102.59999999999998
103.76,106.05
108.25,104.0
119.45,120.0
108.25,102.5
113.37,113.71999999999998
128.35,126.05
126.05,128.05
108.1,102.5
120.5,115.3
116.75,120.49999999999999
109.5,109.5
120.0,117.79999999999998
121.1,115.3
117.8,120.0
114.9,113.9
116.8,118.9
121.35,114.44999999999999
113.66,114.35
110.95,112.9
104.0,107.65
105.05,98.32
111.45,110.95
108.25,108.25
110.7,114.9
108.35,117.05
108.25,114.3
119.2,114.45
114.25,111.63749999999999
118.1,124.3
106.25,104.9
115.8,115.15
115.9,119.75
115.7,121.5
101.6,99.75
119.5,116.35
114.5,114.1
115.5,117.64999999999999
113.3,104.0
106.5,105.05
107.2,112.2
115.25,121.4625
114.6,113.85
104.0,113.3
118.65,121.4
114.1,114.5
119.9,118.64999999999999
112.2,109.75
114.4,120.0
114.3,109.5
110.0,105.70000000000002
113.85,114.6
115.15,116.84999999999998
108.55,111.05
110.1,113.35
127.0,128.7
121.8,123.0
110.35,106.50000000000001
105.7,110.0
119.75,115.9
102.4,101.25
105.5,112.0
112.55,113.3
108.0,104.9
112.5,110.09999999999998
117.05,117.65
109.3,115.15
110.55,113.1
107.9,110.15
106.65,106.25
111.6375,114.25
121.5,115.55
115.55,121.5
103.25,104.49999999999999
113.1,110.55000000000001
110.9,115.15
105.05,106.5
112.0,110.0
109.5,114.3
107.5,109.8
104.35,102.1
115.55,113.3
114.9,115.6
110.4,105.79999999999998
116.35,119.49999999999999
115.6,114.9
101.25,102.4
99.75,106.64999999999999
119.2,115.6
110.15,107.9
113.35,110.1
118.3,116.34999999999998
102.1,104.35
124.3,121.8
102.65,98.995
115.4,104.0
109.8,108.85
121.2,116.85
111.95,112.2
98.995,101.6
102.05,96.6
96.6,102.05
120.0,114.4
103.15,106.5
115.15,109.3
105.8,110.4
123.0,121.8
112.2,110.65
109.8,107.5
104.9,106.24999999999999
121.4625,114.9
105.45,105.7
109.45,110.35000000000001
112.05,110.1
106.65,99.75
116.85,121.2
115.2,109.3
121.4,118.65000000000002
118.5,115.9
110.35,115.20000000000002
109.75,112.2
117.65,117.05
121.0,127.0
104.5,103.25
110.65,112.20000000000002
128.7,127.0
114.0,109.3
108.85,109.8
111.05,108.55
105.9,102.1
