altura,altura_predita
114.9,112.37
115.4,117.47999999999999
113.9,117.14000000000001
109.5,112.09
128.05,122.92999999999999
119.8,114.84
117.3,109.352
109.4,104.84
118.9,117.22
113.65,114.34
112.9,110.15
116.0,112.76999999999998
102.7,104.88
103.75,107.96199999999999
117.25,113.57000000000001
117.4,117.99000000000001
102.6,106.47999999999999
117.05,113.468
103.45,108.272
104.35,101.75800000000001
99.8,102.53
101.15,103.73800000000001
102.75,99.94399999999999
102.8,102.58399999999999
107.65,103.46
115.3,118.72999999999999
114.35,112.492
111.15,111.94000000000001
106.05,112.01200000000001
100.95,101.24199999999999
100.69,102.5
100.1,99.654
109.95,113.48000000000002
109.11,106.88999999999999
109.4,109.18000000000002
115.9,112.78999999999999
105.8,104.18999999999998
104.9,105.11000000000001
114.7,117.41
102.85,105.56000000000002
119.9,118.01999999999998
112.9,112.46000000000001
113.35,112.13
98.32,101.11000000000001
110.85,111.0
114.1,112.1
115.1,112.66400000000002
101.4,100.6
114.45,117.144
121.65,119.16999999999999
109.6,104.42999999999999
101.2,102.25
108.1,112.05
114.0,112.66
109.8,112.76200000000001
101.0,103.1
113.15,118.84
94.85,100.70399999999998
119.55,117.09
117.5,119.62
110.7,113.22199999999998
114.3,113.65
111.55,114.752
102.5,106.19000000000001
113.72,117.08399999999999
116.75,112.01199999999999
115.4,111.69000000000001
117.8,120.00999999999999
109.05,106.13200000000002
109.5,106.46
103.76,111.45
108.25,105.38999999999999
119.45,118.02000000000001
108.25,104.17
113.37,112.744
128.35,122.58
126.05,123.33
108.1,109.44000000000001
120.5,116.22999999999999
116.75,115.79400000000001
109.5,112.804
120.0,118.27000000000001
121.1,117.78000000000002
117.8,117.84
114.9,116.9
116.8,117.258
121.35,115.08800000000001
113.66,112.63
110.95,111.04
104.0,104.98999999999998
105.05,102.59399999999998
111.45,110.18000000000002
108.25,105.39000000000001
110.7,112.24000000000001
108.35,114.61000000000001
108.25,113.28
119.2,115.63400000000001
114.25,113.3375
118.1,120.79
106.25,106.03
115.8,111.02000000000001
115.9,116.92750000000001
115.7,117.13
101.6,102.25899999999999
119.5,118.33
114.5,116.33
115.5,112.57749999999999
113.3,112.3
106.5,103.72999999999999
107.2,111.46
115.25,117.5125
114.6,120.21
104.0,114.88
118.65,118.5125
114.1,116.06000000000002
119.9,117.32250000000002
112.2,111.66
114.4,119.45
114.3,111.3
110.0,107.55999999999999
113.85,120.35999999999999
115.15,115.2
108.55,109.1
110.1,113.05999999999999
127.0,123.13
121.8,120.13
110.35,108.07000000000001
105.7,108.03999999999999
119.75,117.32000000000001
102.4,105.57000000000001
105.5,110.71000000000001
112.55,112.45
108.0,106.79
112.5,112.09
117.05,116.0875
109.3,113.08
110.55,112.36750000000002
107.9,107.08
106.65,107.05
111.6375,114.46
121.5,116.19000000000001
115.55,116.05
103.25,103.28
113.1,112.82749999999999
110.9,113.12
105.05,105.28
112.0,108.79
109.5,112.97
107.5,108.52000000000001
104.35,104.47999999999999
115.55,112.6
114.9,117.4025
110.4,105.2
116.35,120.07250000000002
115.6,116.97250000000001
101.25,103.98999999999998
99.75,102.50900000000001
119.2,117.27000000000001
110.15,111.69000000000001
113.35,111.66
118.3,118.27000000000001
102.1,104.92999999999999
124.3,118.27000000000001
102.65,102.999
115.4,111.87
109.8,109.22
121.2,117.08
111.95,111.77000000000001
98.995,102.78
102.05,100.71900000000001
96.6,101.809
120.0,118.13
103.15,104.78
115.15,113.04
105.8,106.12
123.0,119.89000000000001
112.2,111.26000000000002
109.8,108.17
104.9,107.83999999999999
121.4625,116.4
105.45,108.9
109.45,110.19000000000001
112.05,111.92
106.65,101.619
116.85,117.08999999999999
115.2,111.9
121.4,118.14000000000001
118.5,114.1875
110.35,110.42
109.75,111.86000000000001
117.65,113.92
121.0,121.16999999999999
104.5,103.86999999999998
110.65,111.10999999999999
128.7,122.79
114.0,113.52000000000001
108.85,107.9
111.05,109.91
105.9,103.46
