altura,altura_predita
108.3,107.82000000000001
114.9,114.73800000000001
115.4,115.74000000000001
113.9,113.49000000000001
109.5,109.97
128.05,123.53
119.8,119.42999999999999
117.3,118.42999999999999
109.4,108.872
118.9,119.60999999999999
113.65,115.18999999999998
112.9,111.77000000000001
116.0,116.69000000000001
102.7,102.66000000000001
103.75,103.0
117.25,116.12
117.4,116.61999999999998
102.6,103.74000000000001
117.05,116.85999999999999
103.45,104.45
104.35,102.15
99.8,99.738
101.15,102.75
102.75,104.59
102.8,103.99000000000001
107.65,106.63
115.3,115.41999999999999
114.35,114.07000000000001
111.15,111.16
106.05,106.82600000000002
100.95,101.038
100.69,99.56
100.1,99.674
109.95,109.73999999999998
109.11,108.92999999999999
109.4,108.48999999999998
115.9,116.85999999999999
105.8,103.79
104.9,103.97
114.7,114.15800000000002
102.85,102.16
119.9,119.41
112.9,111.72999999999999
113.35,113.202
98.32,99.648
110.85,111.47
114.1,113.65800000000002
115.1,116.25
111.6,111.98999999999998
105.05,105.42
101.4,101.364
114.45,114.28399999999999
121.65,124.42999999999999
109.6,108.832
101.2,102.45
108.1,108.46399999999998
110.15,109.75999999999999
114.0,109.67999999999999
109.8,110.24000000000001
101.0,101.588
113.15,112.56199999999998
94.85,99.972
111.1,111.16999999999999
105.4,106.95599999999999
106.2,105.80999999999999
119.55,116.58
117.5,117.91
110.7,111.06000000000002
107.9,108.282
116.35,117.69000000000001
108.32,108.24000000000001
114.3,115.67999999999999
111.55,110.12
102.5,101.5
113.72,114.196
116.75,116.92
111.95,111.85999999999999
115.4,116.17
110.1,111.47999999999999
117.8,115.26000000000002
109.05,110.15
109.5,108.852
103.76,107.28400000000002
108.1,107.91999999999999
108.25,108.25399999999999
119.45,118.93999999999998
109.9,108.83400000000002
108.25,109.102
113.37,114.354
128.35,123.47
126.05,123.92999999999999
108.1,107.89000000000001
120.5,119.28999999999999
116.75,118.8
109.5,110.8
116.1,115.3
120.0,118.83
121.1,121.03
117.8,118.18999999999998
114.9,115.83999999999999
116.8,115.91
121.35,118.55999999999999
113.66,114.208
110.95,111.45
104.0,102.5
105.05,104.13000000000002
111.45,111.35
108.25,108.25399999999999
110.7,111.25
108.35,108.174
108.25,108.114
119.2,119.95
107.8,108.22
114.25,115.13999999999999
100.2,101.009
118.1,118.75
106.2,106.14000000000001
106.25,106.96
109.15,108.86999999999998
115.8,115.05999999999999
97.2,100.42
115.9,115.7
115.7,115.6
101.6,100.849
106.0,105.47
119.5,120.22999999999999
114.5,115.52000000000001
115.5,115.38
113.3,114.62
106.5,105.1
107.2,105.87
115.25,114.93999999999998
114.6,115.85
119.3,119.8525
104.0,105.41000000000001
120.3,119.35999999999999
118.65,120.08
114.1,115.33000000000001
119.9,119.4825
102.5,103.95
112.2,112.5675
114.4,116.67
114.3,114.09
110.0,109.19000000000001
113.85,115.23999999999998
115.15,115.74000000000001
108.55,106.89000000000001
110.1,110.75999999999999
117.75,116.96
127.0,123.67999999999999
121.8,121.34
110.35,110.06999999999998
105.7,105.57000000000001
117.05,117.97999999999999
119.75,120.27250000000001
102.4,103.13
105.5,107.75
112.55,114.21
108.0,108.85
112.5,113.72999999999999
117.05,115.76000000000002
109.3,109.31000000000002
110.55,110.88
107.9,107.48000000000002
106.65,106.47999999999999
112.75,111.1
111.6375,112.91
121.5,119.7625
113.85,113.09
114.05,114.0
115.55,115.63
103.25,103.32000000000001
113.1,113.07749999999999
110.9,109.87
105.05,103.67999999999999
112.0,111.21750000000002
109.5,111.54
107.5,105.28
104.35,104.78999999999999
115.55,114.69000000000001
114.9,115.00999999999999
110.4,110.07000000000001
116.35,116.17999999999999
115.6,115.75999999999999
101.25,99.97999999999999
99.75,99.889
119.2,119.78999999999999
110.15,109.12
113.35,113.18999999999998
118.3,118.41000000000001
102.1,103.59
124.3,122.72
110.75,110.41000000000001
102.65,101.21900000000001
115.4,116.05
109.8,109.87
121.2,120.10999999999999
111.95,112.19000000000001
98.995,101.25000000000001
102.05,103.56000000000002
96.6,99.54899999999999
120.0,120.35
103.15,104.83999999999999
115.15,115.19000000000001
105.8,104.7
123.0,121.94000000000001
112.2,111.0
109.8,109.17
104.9,104.89000000000001
121.4625,119.53
105.45,104.47999999999999
109.45,109.03
112.05,112.22
106.65,106.47999999999999
116.85,118.02000000000001
115.2,114.75999999999999
121.4,120.07000000000001
118.5,118.07000000000001
110.35,110.08000000000001
109.75,110.82000000000001
117.65,115.64000000000001
121.0,121.97999999999999
104.5,104.04
110.65,110.42999999999999
128.7,122.97999999999999
114.0,114.4
108.85,110.30999999999999
111.05,111.4075
105.9,105.96
